title_id,review_title,review_title_sentiment_score,review_text_sentiment_score,date,rating
tt2278388," A masterpiece with no expiration date
",0.4404,0.0772,2021-03-30 00:00:00,9
tt2278388," Fast & Funny Movie
",0.4404,0.9623,2021-03-25 00:00:00,8
tt2278388," Good!!
",0.5399,0.8868,2021-03-21 00:00:00,7
tt2278388," So Beautiful
",0.6361,0.895,2021-03-15 00:00:00,9
tt2278388," Great Storytelling
",0.6249,0.9403,2021-03-13 00:00:00,9
tt2278388," An excellent parody of classical film!
",0.6114,0.984,2021-03-09 00:00:00,8
tt2278388," Witty, Weird, and Funny
",0.296,0.8545,2021-03-09 00:00:00,8
tt2278388," Finnes Shines In What Is Perhaps Anderson's Best
",0.6369,0.9935,2021-03-06 00:00:00,8
tt2278388," A piece of art that deserves its place in the cinema history books
",0.0,0.656,2021-03-05 00:00:00,10
tt2278388," Enchanting production
",0.0,0.9657,2021-03-04 00:00:00,10
tt2278388," Great film but...
",0.6249,0.2247,2021-03-04 00:00:00,8
tt2278388," A very special and funny crime comedy.
",0.6318,0.998,2021-03-01 00:00:00,8
tt2278388," Boring movie for arthouse junkies
",-0.3182,0.4215,2021-02-28 00:00:00,5
tt2278388," A Masterpiece
",0.6249,0.9543,2021-02-23 00:00:00,10
tt2278388," A well-made and well-made film
",0.0,0.9578,2021-02-23 00:00:00,8
tt2278388," Movie title should be ""Deep sleep video""
",0.0,-0.9422,2021-02-22 00:00:00,2
tt2278388," A Great Introduction to the Wonderful World of Wes Anderson!
",0.8439,0.9791,2021-02-14 00:00:00,8
tt2278388," Whence came these two radiant, celestial brothers
",0.4767,0.7184,2021-02-14 00:00:00,10
tt2278388," a magic movie like a poem.
",0.3612,0.8126,2021-02-12 00:00:00,10
tt2278388," An extremely beautiful movie about friendship
",0.796,0.768,2021-02-06 00:00:00,9
tt2278388," Not The Best But It Still A Terrific Piece Of Work
",0.4526,0.99,2021-02-03 00:00:00,8
tt2278388," Absolute gem
",0.0,0.953,2021-01-27 00:00:00,10
tt2278388," 8.7
",0.0,0.9927,2021-01-23 00:00:00,8
tt2278388," Every frame is a painting, but..
",0.0,-0.7351,2021-01-19 00:00:00,4
tt2278388," The most perfect film ever
",0.6115,0.9397,2021-01-17 00:00:00,10
tt2278388," brilliant
",0.5859,0.4389,2021-01-09 00:00:00,10
tt2278388," Wasted my 1h 40m Lockdown time
",-0.4939,0.0,2021-01-04 00:00:00,1
tt2278388," Good movie.
",0.4404,0.9217,2021-01-04 00:00:00,8
tt2278388," A masterpiece!
",0.6588,0.9886,2021-01-04 00:00:00,10
tt2278388," What a delightfull reminiscence of old times
",0.0,0.985,2021-01-03 00:00:00,10
tt2278388," ridiculous
",-0.3612,-0.8479,2020-12-28 00:00:00,1
tt2278388," thats a wasting of time
",-0.4019,0.0,2020-12-26 00:00:00,1
tt2278388," A beautiful movie that you won't forget
",0.6774,0.9325,2020-12-24 00:00:00,9
tt2278388," Not only ""Symmetrical"" but also ""Cyclical""
",0.0,0.7081,2020-12-20 00:00:00,10
tt2278388," A suggestion to beautify the day
",0.5106,0.3384,2020-12-17 00:00:00,8
tt2278388," Hospitable, Stylish, and Artistic
",0.0,0.8591,2020-12-12 00:00:00,9
tt2278388," like the film style and characters, very picturesque. art in every scene
",0.659,0.9206,2020-12-04 00:00:00,8
tt2278388," Checking in?
",0.0,0.9764,2020-12-04 00:00:00,8
tt2278388," This film is a masterpiece
",0.6249,0.9313,2020-12-01 00:00:00,10
tt2278388," This is a special film
",0.4019,0.9575,2020-11-17 00:00:00,10
tt2278388," A delightful and interesting movie!
",0.7777,0.9899,2020-11-13 00:00:00,10
tt2278388," Catastrophe
",-0.6597,-0.4215,2020-11-10 00:00:00,3
tt2278388," Pure joy
",0.5859,0.9973,2020-11-09 00:00:00,10
tt2278388," Simply Extraordinary
",0.0,0.6478,2020-11-04 00:00:00,10
tt2278388," What a wonderful movie!
",0.6114,0.9526,2020-11-03 00:00:00,9
tt2278388," Surreal.
",0.0,0.9372,2020-10-30 00:00:00,9
tt2278388," I was so angry when this movie came out because
",-0.5563,0.9803,2020-10-29 00:00:00,10
tt2278388," My favorite Wes Anderson movie so far
",0.4588,0.7184,2020-10-17 00:00:00,10
tt2278388," My Beloved Intro to Wes Anderson
",0.5106,0.9938,2020-10-15 00:00:00,10
tt2278388," Do not understand the strong praise
",0.2259,0.3485,2020-10-12 00:00:00,2
tt2278388," It's like a children's movie for adults and I love it.
",0.7717,0.974,2020-10-04 00:00:00,10
tt2278388," I enjoyed it greatly.
",0.5106,0.5879,2020-09-29 00:00:00,9
tt2278388," .
",0.0,0.1725,2020-09-17 00:00:00,9
tt2278388," Beautiful film
",0.5994,0.9574,2020-09-16 00:00:00,9
tt2278388," Great fun
",0.8126,0.9478,2020-08-31 00:00:00,7
tt2278388," Wes Anderson's best film
",0.6369,0.9771,2020-08-31 00:00:00,9
tt2278388," Artsy, ludicrous and absolutely delightful!
",0.4376,0.992,2020-08-29 00:00:00,10
tt2278388," A true gem.
",0.4215,0.986,2020-08-27 00:00:00,9
tt2278388," More extra than guac at Chipotle!
",0.0,0.8117,2020-08-24 00:00:00,8
tt2278388," Would make a great operetta
",0.6249,0.9445,2020-08-23 00:00:00,8
tt2278388," Another Wes Anderson Art!
",0.0,0.9565,2020-08-15 00:00:00,9
tt2278388," The Grandest Hotel with the best concierge and lobby boy at its premises
",0.8271,-0.0387,2020-08-09 00:00:00,10
tt2278388," Definetly an original.
",0.3182,0.8802,2020-08-05 00:00:00,7
tt2278388," What a movie. Wes Anderson is the master.
",0.0,0.9589,2020-07-24 00:00:00,8
tt2278388," Fantastic Fast-paced Comedy
",0.7269,0.9524,2020-07-19 00:00:00,9
tt2278388," Crappy movie
",-0.5574,0.0,2020-07-19 00:00:00,2
tt2278388," Love the way this film flows
",0.6369,0.7845,2020-07-14 00:00:00,8
tt2278388," Taking Wes Anderson's Humour and Comedy One Level Up. Not hysterical but definitely Hilarious.
",0.5423,0.9944,2020-07-13 00:00:00,7
tt2278388," Bravo!!
",0.0,0.9477,2020-07-11 00:00:00,10
tt2278388," A movie worth watching
",0.2263,0.9312,2020-07-02 00:00:00,9
tt2278388," A movie or a painting?
",0.0,0.9919,2020-06-29 00:00:00,10
tt2278388," It's great
",0.6249,0.92,2020-06-24 00:00:00,8
tt2278388," Oh my God
",0.2732,0.7579,2020-06-20 00:00:00,8
tt2278388," the grand budapest
",0.4588,0.8089,2020-06-19 00:00:00,10
tt2278388," A Unique and Original Classic
",0.3182,0.9886,2020-06-16 00:00:00,10
tt2278388," A cinematic blast!!
",0.0,0.9639,2020-06-12 00:00:00,8
tt2278388," A total waste of time
",-0.4215,-0.6515,2020-06-12 00:00:00,1
tt2278388," a brief evaluation
",0.0,0.765,2020-06-06 00:00:00,8
tt2278388," ""It was an enchanting old ruin. But I never managed to see it again.""
",-0.34,0.872,2020-06-06 00:00:00,7
tt2278388," I have seen this 8 times, and show all my friends
",0.4767,0.9992,2020-06-03 00:00:00,10
tt2278388," A complicated movie
",0.0,0.0772,2020-06-03 00:00:00,8
tt2278388," The magic of framing
",0.0,0.9954,2020-06-02 00:00:00,9
tt2278388," This is not just a movie
",0.0,0.9059,2020-06-01 00:00:00,9
tt2278388," untitled
",0.0,0.9558,2020-05-31 00:00:00,8
tt2278388," Wes Anderson Catering to The Wrong Crowd!!!!!
",-0.6449,0.9978,2020-05-24 00:00:00,1
tt2278388," Utterly Charming!
",0.6581,0.8703,2020-05-19 00:00:00,10
tt2278388," Close to perfection
",0.5719,0.5771,2020-05-19 00:00:00,9
tt2278388," The grand Budapest hotel
",0.4588,0.8801,2020-05-18 00:00:00,8
tt2278388," pretty good
",0.7269,0.8588,2020-05-17 00:00:00,8
tt2278388," STUNNING
",0.3818,0.8573,2020-05-15 00:00:00,9
tt2278388," Does it get any better?
",0.4404,0.8972,2020-05-12 00:00:00,10
tt2278388," Not just visual enjoyment.
",-0.4449,0.7096,2020-05-09 00:00:00,9
tt2278388," A Cinematic Delicacy
",0.0,0.9965,2020-05-07 00:00:00,10
tt2278388," A mosaic of grandeur
",0.5267,0.9724,2020-05-06 00:00:00,10
tt2278388," Very dated
",0.0,-0.7757,2020-05-02 00:00:00,5
tt2278388," Not really grand.
",-0.4013,0.9724,2020-05-01 00:00:00,6
tt2278388," Every single piece of time spent on watching this is worthy
",0.4404,0.5994,2020-04-28 00:00:00,10
tt2278388," A unique piece of cinematography!
",0.0,0.6696,2020-04-26 00:00:00,8
tt2278388," Wes Anderson at his finest!!
",0.0,0.9806,2020-04-26 00:00:00,10
tt2278388," Best movie ever created
",0.7351,0.9812,2020-04-25 00:00:00,10
tt2278388," A Visual Treat and Delight for Movie Lovers
",0.875,0.9888,2020-04-23 00:00:00,8
tt2278388," Funny and visually wonderful
",0.765,0.9758,2020-04-22 00:00:00,8
tt2278388," Bizarre, intelligent, good-looking, witty and poignant ""cartoon"" that isn't...
",0.1779,0.99,2020-04-22 00:00:00,8
tt2278388," The tragedy of the era
",-0.6597,0.4939,2020-04-15 00:00:00,9
tt2278388," Unique film!
",0.0,0.9915,2020-04-14 00:00:00,10
