title,date,rating,review
" I Literally Cannot Overhype This
",2021-04-10 00:00:00,10,"Your Name is not just one of the best animated films ever made (if not the best, it easily competes with Beauty and the Beast, Spirited Away, Wall-E, etc.), it is one of the best films ever made. It is damn near perfect. This movie made me feel things I forgot I could feel.It's just so tightly written. The movie tackles so many different themes; fate, love, coming of age, tradition's place in modernity, rural and urban divides, and even the legacy of Japan's nuclear fallouts, but despite the fact the movie only clocks in at a little above 90 minutes, it does each theme so well. Plus, it develops its themes through pitch perfect human characters and one of the most succinct, affecting plots I have ever seen.The animation, of course, is also crazy beautiful. There is nothing else quite like it. The richness of the visual information onscreen, the insane little details, the seamless combination of buttery-smooth CGI motion and hand-drawn animation, the lighting so good you'd think it was real, combines to create animation beautiful enough to move you even without the film's overwhelming, gorgeous catharsis.My advice, watch it twice. It was great on the first watch and absolutely blew me away on the second rewatch."
" Best anime movie
",2021-04-09 00:00:00,10,It is litrally the best story they could gave in a anime movie it has the classy anime vibes and the ending might be quit easy but itz the best they could done in a movie.
" One of best of the best
",2021-04-09 00:00:00,10,"I can't put it in words how good Your Name is. I laughed, I cried and yeah I mostly cried. The animation is so beautiful along with a hearthbreaking and extraordinary story. Never seen anything like this! This film is one of the reasons why I can't take the academy seriously, not even an Oscar nomination. One of the best animated films of all time."
" FASCINATING MOVIE
",2021-04-08 00:00:00,9,"After a long time i have seen a movie like this . Salute to the imagination of writer and wonderful direction of director . This movie is about a girl mitsuha , who lives in small town and a boy taki , who lives in tokyo . Their lives changes when they wake up and switching places with each other. It is a sweet combo of fantasy , slice of life and time traveling."
" Not bad but Not Great either
",2021-04-08 00:00:00,1,"First of all, I would give it a 6 but I gave it 1 to counter all those ratings.Now, I was really hyped for this movie. Seeing wallpapers here and their, watching the trailer, I developed heaven level expectations for this film. But when I actually watched it, it dint please me. The music was excellent and the animation was really detailed and colorful. But I found the screenwriting really, really bad. It had a great concept, but the dialogues were so unsatisfying. They didn't do much to make the movie enjoyable or progress smoothly and the way the story advanced was off. People praise the pacing but I had a lot of troubles with it. For instance getting adjusted to their new life was compressed into a song when it was the most fun part, when it should have been given more time. And like half of the movie went to saving the town which was boring and predictable. Many people like it so they must have something to like it. But I just couldn't enjoy it. It would not make it into a list of my top twenty fav anime films. At least I still listen to the music."
" Okay number 1
",2021-04-08 00:00:00,10,Amazing story I really love this movie.It a must to watch that's my very first japanese romance love story anime and now it makes me want to explore for more.
" Beautiful and original story!
",2021-04-07 00:00:00,9,"An absorbing, original, moving story. The juxtaposition of locations brought to life beautifully in the animation."
" An attempt at a spoiler-free recommendation of ""Your name""
",2021-04-06 00:00:00,10,"""Your name"" is the best movie I have ever seen, yet saying WHY everyone should watch it is incredibly hard without either spoiling things or focussing on overly specific details. You should watch this movie for the first time while knowing as little about it as possible. Imagine watching ""Ender's game"" after already knowing how it ends. This movie has about three or four such shocking moments (but in different ways) and much more that is best experienced exactly as the creator intended.I will try to say as much as I can anyway: This movie contains strong emotions, action, humour, mystery, fantasy, character development, music, etc., but more than in any other movie I have ever seen, these elements are all strongly connected with each other and with the plot. Just the premise alone already contains multiple factors that I would have never thought about combining, but it is apparently exactly what was needed to create such a masterpiece.It is visually incredibly beautiful, every tiniest scene was created with amazing attention to detail. The way the virtual camera moves must have been very difficult to create, but definitely pays off. Where other animated movies would only draw a simple background and 2-3 frames of mouth movement whenever someone speaks, here you get beautiful backgrounds and lots of moving pieces. There are 24 frames per second and most of the time either 8 or 12 of them are individually drawn, but then parts are cleverly combined and moved in relation to each other to make it even smoother. I am not as easily impressed by images as with music or film, but when I carefully looked through the movie and picked out my favourite frames, I ended up with hundreds of them.Speaking about music, the soundtrack is also beautiful and fits the movie extremely well, especially the lyrics of the four non-instrumental tracks. Just hearing the first second of any of them brings tears to my eyes every time.It also doesn't end with just watching the movie once: After watching it multiple times, reading the novel version of it and the lyrics of the soundtrack, researching about specific details and deeper meanings and thinking about it a lot, I appreciate the movie even more. In my view it went from ""one of the best movies ever"" to ""nothing is even comparable to it"", the more I knew about it.Finally, a little warning: You should carefully choose WHEN to watch this movie. Don't expect to be able to get anything done while watching it. And some people have reported various effects on them for days afterwards, ranging from a feeling of emptiness, as if nothing in their lives will ever be as good or profound as this, to intense happiness, appreciating life more or even having a therapeutic effect. In my case, it was that I couldn't focus on anything else for a long time afterwards and kept thinking about the movie all the time. But it has also inspired me to create some little things of my own and there are definitely worse things that could get stuck in your head."
" Review for the movie
",2021-04-03 00:00:00,10,One of the best movie ever. I recommend you to watch it . It has beatuiful story and best animation.
" LOVE FROM A DISTANCE AND WHAT IT CAUSES
",2021-04-03 00:00:00,10,"IF THEY THOUGHT IT WILL BE ANOTHER
FREAKY FRIDAY BUT FOR THE ANIME FANS, WHAT FOOLS ARE THEY, FOR ME IT SYMBOLIZES A DISTANCE RELATIONSHIP, BE FRIENDS OR PARTNERS, SINCE THE MINUTE THAT ONE WANTS TO SEE, BUT THEY CAN'T SEE THEY ARE METERS AWAY, BUT THEY STILL LIVE LIFE ON THE OTHER, THAT IS WHY THE DYNAMICS OF BODY CHANGE.ENOUGH OF SYMBOLISM AND STRANGE THINGS, SINCE THE REVIEW ALREADY MADE ME LONG, LET'S TALK ABOUT THE MOVIE.LET'S START WITH THE BACKGROUNDS, THE PREVIOUS BACKGROUND WHEN HE SAW THE MOVIE A FEW DAYS AGO I COULD NOT STOP SEEING THE BACKGROUNDS, I STOPPED A MOVIE TO APPRECIATE THEM FOR A FEW SECONDS, THE WALLPAPERS FOR ANYONE, NOT ONLY THE BACKGROUNDS, NOT ONLY THE BACKGROUNDS.THE MUSIC, THE CHARACTERS, THE PLOT, EVERYTHING IN THIS MOVIE IS PERFECT, WHAT A PITY THAT THE ACADEMY DID NOT EVEN CONSIDER IT, IT HAD POTENTIAL TO WIN THE BEST ANIMATED FILM IN 2017."
