title,date,rating,review
" This was a comedy??
",2021-03-24 00:00:00,3,"One of the worst comedy films i've ever seen.These films end up frustrating me more than entertain me. So many of them have been made over the last few years. Some made well such as 'The Hangover' franchise, most miss the mark.It's the 'simple night out gone horribly wrong' sub genre to which i refer, the totally unbelievable series of events which conspire against our protagonists is so far fetched, people act incredibly stupid, react even more stupidly and it all ends up in some convoluted mess.Yes, sometimes we can have nights or days where things seem to snowball, but generally these things happen outwith our control. In most of these films events are entirely avoidable."
" Truly awful
",2021-02-20 00:00:00,1,"A bad movie, based on women being hysterical and only good for child care with a weird religious angle"
" Probably the dumbest movie ever!
",2021-02-06 00:00:00,1,What a shocking movie. No story line and not a single scene is funny. Absolutely ridiculous!
" This Christian move is a shambolic mess, but it has its good points.
",2021-01-24 00:00:00,10,"I am a huge Sarah Drew fan, aside from being attractive, she is a very good actress. I am also a huge fan of Christian films, even though i'm not a religious person.I read lot of mixed reviews, and everybody is entitled to their opinion.It could be said that this movie is a lot of fun which it is, where most Christian movies simply mention God an awful lot, and why not ?, Western Society has lost its way as far as Christianity is concerned.Christianity to me as a non religious person simply means having a good heart and caring about others.This came across well when one of the husbands of these woman on a night out, made a phone call to a friendly biker who was a Christian, to help find a seemingly lost baby, so this biker got his biker mates to take part in the search, when it was discovered the baby was being well looked after by a neighbour.The ending of this film is the best part with all the dancing at the bowling alley. I wanted to join them.I always give Christian films 10 stars because they are always meaningful, and they are right. Imagine Western Society adhering to the 10 Commandments ?, no chance, we honor the golden idle.I give this movie 10 stars because it was a lot of shambolic fun, and I may even watch it again to see if I missed anything."
" One of the worst movies I have ever seen
",2020-12-17 00:00:00,1,Terrible. Sterotyped uptight mothers without a life. Come on. Get over it. Terrible acting and plot.incredible stupid and a waste of time.
" Family Friendly.
",2020-12-03 00:00:00,10,"Perfect family friendly, clean movie. Comedy that depicts the feelings of motherhood and having an identity separate from just being mom."
" Don't do it
",2020-11-14 00:00:00,1,"Absolutely not what i expected when i put the movie on. Horrible from start to end. Do not recommend unless you're in to annoying, screaming, self-pitying, useless characters with no substance. Do yourselves a favour and use these 90 minutes on anything but this."
" The movie proves good comedy doesn't have to be vulgar.
",2020-09-15 00:00:00,10,"Good, clean, and funny... Very refreshing entertainment. Thought Trace Atkins (Bones) was especially good."
" Boring. Not Funny At All.
",2020-05-31 00:00:00,1,"They call this a comedy? Not funny. Very boring. Had to stop watching in middle of movie, could not take another minute of this trash."
" Very meh, not funny.
",2020-05-27 00:00:00,4,I am a Christian who dislikes PureFlix. This isn't the worst but its not good by any means.
" I loved this film!
",2020-05-25 00:00:00,9,"This movie took me by surprise. My wife rented it. Made me watch it. I faced it like a man facing a firing Squad. I was pleasantly surprised to find it both warm and heartfelt. If you are a parent I promise you will laugh that much harder. A simple family film with not a single moment of CGI combat. A wild card in a hand full of Duds. A simple way to say it, ""I loved this film!"""
" Not as great as I thought
",2020-05-24 00:00:00,4,"I had seen this movie years back and remembered I liked it. So now that it's free on IMDB I thought, ""why not?"" Also I really wanted to see Harry Shum Jr. Now that I have seen it years later from when it was released I realized that it was so boring. Nothing made me excited or on the edge of my seat. The acting was alright but didn't hold up with the bad story.
Overall it just wasn't good."
" Awesome, wholesome movie!
",2020-05-19 00:00:00,10,"I love cheesy, clean, wholesome family films, and this one's all that minus the cheesiness. Normally, when i watch a Christian or family film, the actors are not very well known and the acting's not that great. But here, you got Patricia Heaton, Sean Astin, big name actors and it's not a low-budget film at all! Even the less-popular actors i thought was amazing. As a Christian, I could say that I love this movie and it's such a quality film that i wish we had more of in the industry. Overall, two thumbs up! Highly recommend it to anyone looking for a clean, fun, wholesome family film that everyone can enjoy."
" Awesome movie!
",2020-05-10 00:00:00,10,Thank you for seeing us moms! It was so nice to be able to watch a movie and put my full support behind it! I love to laugh but so many comedies are so vulgar and condescending and not even that funny. This one I gut laughed so many times! This is one of my favorite movies. Would love for them to do more like this! Top notch actors/ actresses! Loved every minute of it.-Christian 30 year old mom that usually watches kickass action movies with husband.
