title,date,rating,review
" Epitaph to Billy Connolly ?
",2020-12-29 00:00:00,4,"Read such good reviews but was so let down with this unfunny very improbable story. If this actually happened, Social Services would be swarming around the Highlands like ants and the adults taken into custody pronto. Billy was great, but he always is, unfortunately could not save this Muppet from disaster. I gave it 4 for him."
" Lovely family film that takes you on a roller-coaster of emotions.
",2020-12-23 00:00:00,7,"A British 2014 film, or to be specific, a Scottish film made by BBC (Alba) Films and Creative Scotland. Written and directed by Andy Hamilton and Guy Jenkins, this film has a runtime of 95-minutes and was made with a reported budget of £3.5million, which it more than doubled at the box office (£10.7 million). The film stars David Tennant and Rosamund Pike as Doug and Abi McLeod. The London based couple have split up and live separately but still have interactions due to their 3 children who live with mother Abi. Doug's father Gordie (Billy Connolly) has terminal cancer but is due to celebrate his 75th birthday soon. His other son, Gavin (Ben Miller), is arranging a lavish party at their mansion in Scotland with his wife Margaret (Amelia Bullmore). When Doug and Abi arrive with their children it is clear that Gordie isn't really that interested in a party, it's more down to Gavin wanting to do it. So, wanting nothing to do with it, but instead wanting to spent time with his grandchildren, Gordie takes them to the beach while the grown-up's prepare the party and squabble with each other. The kid's love their granddad and his zany ways, on this beach adventure he reveals that he is 80% Viking and if anything should befall him he would want to be buried the traditional Viking way. This is useful information because while the kids are all happily playing Gordie unexpectedly passes away. Unable to rouse any grown-ups to help out, the kids set about making arrangements for their grandfather themselves. They perform a Viking burial, cremating him on a burning raft which is moving out to sea. On the kids return the news obviously causes a shock and all hell breaks loose as people come to terms with the death, and how it was dealt with.I loved this fun and touching film. Not only is it a great advert for Scotland and the beautiful scenery shown, it's also a lovely advert for life too. I went through a roller-coaster of emotions watching this film, and to be honest - I wasn't intending to watch it. This cracker just happened to be on terrestrial TV one night and I had nothing else queued up to watch, so I gave it a go. I went from wondering what the hell I had gotten myself into, through enjoyment and sadness, ending with a warm fuzzy feeling that was happy at the gift of life. It isn't necessarily a life changing story, it's more just a reminder to enjoy the fun and simple things and try to avoid stress and arguments.The acting on show is great, the adult actors in this ply their trade with class and guile - Tennant, Pike, Miller, Connolly, et al, all do a convincing and engaging job in representing their characters. Regardless of what troubles and stresses they are going through themselves - which is a lot, they are never far away from being lovable people still. Really though it's the children who do an outstanding job here; Micky (Bobby Smalldridge), Jess (Harriet Turnbull), and Lottie (Emilia Jones). It could be argued that their performances were a little squeaky clean, but there can be no doubt that they really drive the film forward with what they do. There are times they almost steal the show from their more experienced and seasoned actors with their engaging sweetness. The acting is one thing, but it's clear they are working from well written material here and have great direction, credit has to go to Jenkins and Hamilton. They have both worked on the hit BBC family comedy ""Outnumbered"" and they were able to lend their craft to a feature film really well. They have provided sharply written story which was both realistic and bordered on absurd, it had plenty of humor and pathos, and it captured attention from the audience too. While some taboos are covered in this film, they are nothing that the realty of life doesn't throw at us all, this film does it with a heart.I would be happy to recommend this family film. I didn't intend watching it but am glad I did. I am sure that anyone with a heart will find some joy from this too - oh, but bring a tissue too, just in case a tear accompanies the joy."
" The Coming of Age of Kenneth MacLeod
",2020-12-19 00:00:00,9,"Sentimental and schmaltzy, but ultimately charming movie. The real stars are the kids and none more so than background character Kenneth who is pretty much dismissed by his father throughout the movie, but makes it big with the gorgeous violinist in the party band. Really the movie is about terminal cancer sufferer Gordie MacLeod, a former professional and international footballer whose dying wish is carried out by his young grandchildren - Lottie, Mickey and Jess. This throws the who family into turmoil, no more than Gavin, Gordie's elder son who is a fairly dispicable venture capitalist.
Wonderful movie"
" Excellent story, well executed
",2020-12-19 00:00:00,10,"Not your typical story, and all the better for it, along with a great cast and fantastic scenery. Full marks to all actors, particularly the younger cast members who made this excellent drama even better. All combined, have no hesitation in giving top marks."
" A really sweet film
",2020-12-19 00:00:00,9,"'You're so English, you're almost French' - best line ever!!"
" Fantastic could have been a 10
",2020-12-19 00:00:00,8,"The script, cast, and direction all wonderful. Started great, middle both touching, philosophical, and beautiful; at the 3/4 point I was worried that they'd lost the plot, and the film was just treading water. Then the end rescued it a bit! Well done, I'm happy! Good film!!"
" MADE ME THROW UP
",2020-12-09 00:00:00,1,I WAS WATCHING THIS MOVIE AND IT MADE ME HUNGRY SO I ATE SOME COCONUT COOKIES BUT I ATE TOO MANY AND THREW UP
" What a Simple, Beautiful, Heart Warming Film
",2020-11-25 00:00:00,8,"From the very beginning, there's chaos within the family that is off to see the kids' grandpa for his 75th birthday and from there on, it's all about the kids - be it in writing, acting, dialogues and philosophy. This is a pure, sweet and wonderful family film."
" Nice Movie
",2020-11-25 00:00:00,7,"This is a nice movie, great performances especially by the children. Just be advised, this is exactly the same movie as Rocket Gibraltar with Burt Lancaster shot in the 1980's"
" Bl**dy irritating
",2020-10-14 00:00:00,1,"Staid acting. Awful language in front of kids for a kids' themed movie. Horrible, fraut and caustic atmosphere between the parents. Irritatingly predictable London based storyline. Lamentable tedium. Not good. Don't know how this got the green light."
" The Kids Are The Highlight
",2020-08-19 00:00:00,9,"I love David Tennant and Billy Connolly, so I checked this out. As always, Billy Connolly stood out, but I was really surprised by the children. I'm fairly certain half of their dialogue must have been improvised, Connolly too most likely, but they were so sharp, quick witted and funny. They were definitely the highlight of the movie, hands down.All in all, it's a sweet family movie about adults and how their problems can overtake everything sometimes and how it takes something to snap them out of it, and bring everyone together. I'd suggest this for the simple fact that it's an entertaining time."
" Funny British Comedy
",2020-08-17 00:00:00,9,This is an entertaining flick with an imaginative central premise from the beach scene onwards and great acting and quirky characterisation both before and after that scene make it well worth watching.
