title,date,rating,review
" This movie is just bad
",2021-03-28 00:00:00,1,I hate this movie. This is just bad I have no words to.explain how many mistakes they made. This is an example for how bad new films are. This is just a shame for the other two films.
" A Shameless Insult
",2021-03-27 00:00:00,1,"I have fond memories of the 80s and certain movies were the bedrock of our youth. Ghostbusters was one of them. Ray will always remind me of a younger version of my uncle. It didn't need to be re-done. Are contemporary film producers and script writers so devoid of original ideas that they have to plunder iconic movies for inspiration. Turns out they weren't all that inspired after all as this was one-long, over the top in being politically-correct cringe-fest. These characters were not the Ghostbusters and never will be."
" Hahahahaaaaaaa It Is Funny...
",2021-03-26 00:00:00,2,.... that they keep remaking crap and rebooting and we pay for them. How desperate are we? Have we never heard of going for a run? Or making dinner? All much more fun and rewarding than watching this bulshiiiiiIt used to be that once in a while they would remake a film.. now they start rebooting and remaking and adding sequels as soon as a film makes more than $60. Hollywood: so ready to die a horrible death! PS: not one funny joke/not one woman I am interested in/not one funny situation/just gender politics of hate.
" Why
",2021-03-19 00:00:00,1,Why we have to change the gender of the Characters why can't woman having their own franchisee
" Not that bad
",2021-03-19 00:00:00,8,"My 5 year old (special needs spectrum) is obsessed with Ghostbusters, and we watch a lot of it. Yeah, it's not a classic like the original, but this one is entertaining enough in its own right. The ladies mesh well, and there's plenty of funny commentary between actresses. The cameos are pretty cool too. Definitely worth a watch"
" Truly as bad as they warned me it was
",2021-03-16 00:00:00,1,"I really like Kristen Wig and its hard to believe they had her in this; yet its as bad as it is.
Stale jokes. Forced laughing at their own lame jokes. Ridiculous premises. Poorly written.I felt dirty after seeing this. I felt like I had watched my parents copulate.I have no idea how they managed to get the cameo spots from the originals.
I'd be really pissed if I made the original and saw how badly this attempt butchered it."
" Another political point scoring film that forgets to entertain.
",2021-03-12 00:00:00,1,Just awful. the only reason this film has the score it does is people giving it a ten to push a political narrative. No one could honestly watch this and think it is in the same league as some of the greatest films ever made.
" Unnecessary, Dull and Pointless
",2021-03-09 00:00:00,1,"Why Sony? Why?? I knew that this movie was going to suck from the get-go. The Original Trailer Pissed Me Off and I am glad that I didn't see this movie in theaters. It's an awful attempt at a female cast, mediocre acting, and poorly written, I abhor this disappointing, mediocre, lazy, useless mess of a film"
" The first one had a sexy ravishing brunette
",2021-03-09 00:00:00,3,"As a man I could get horny for.
This one? The 'women' fart into the camera.The rest of the movie was boring, pretentious, far-fetched sexist sob story with a lack of common sense. Typical Hollywood.I really do not understand acclaims and high ratings this movie gets. Did these critics see the film?"
" Nope
",2021-03-06 00:00:00,1,"More care and effort went into writing this review than the script for this film.
That is all."
