title,date,rating,review
" Great Movie
",2021-03-27 00:00:00,8,"Great movie which chronicles the unnecessary hardship, grief and stress inflicted on so many people by a government scheme that does not work !Hayley Squires. Very good and one to watch for.Only gripe is he collapsed in a government office and no o e administered CPR.Loved it."
" The day the film will lose its relevance, the world will be a happier place...
",2021-03-04 00:00:00,9,"This is Daniel Blake, played by Dave Johns. For his doctor, he's a patient with a heart condition. For the Department of Work and Pensions, he's an entity, a number, an impersonal element that didn't pass the test that could earn him a disability pension. For his neighbor (Kema Sikazwe), he's a widower and sympathetic old curcumdgeon. And for us, he's a most resourceful and honest man, a product of the Baby Boom generation, a man who does things with his hands as efficiently as his heart and doesn't beg for money but only desires the insurance of a decent living. He's got pride and dignity, he's an old school chap caught in the midst of the dematerialized but no less obstructive (and destructive) bureaucracy,Watching poor Daniel entrapped in the pervert mechanisms of a system that deems him able to work and trying to claim his rights to office workers who remain deaf and blind to his explanations is painful to watch, but it's a cathartic experience nonetheless. We know we're not alone for as long as directors like Ken Loach will shed light on average people promised to a slow downfall because of bureaucratic technicalities, cinema will preserve its nobility. While Hollywood is busy making films about superheroes, here's a touching and minimalist drama that illustrates with the simple language of the camera the struggles of the little people, the forgotten entities of the liberal dream without drowning the material in an ocean of pathos.Indeed, Daniel is constantly active, he tries to reason his interviewers, the security guards, he learns how to use the Internet, and later, we see him helping Kathy, a single mother with two kids by fixing plumbery, crafting and simply making his presence indispensable. He's the handy man and the father-figure a house needs. His obstacle-course of a life allows us to discover the struggle of single mothers. Played by Hailey Squires, Kathy couldn't get her family allowances because she missed the bus and therefore her appointment. trying we also have a glimpse on the fate of a woman who can't get her allocations because she came late, Like Daniel, no one listens to her. Still, there's one worked played by Kate Rutter who restores our faith. They're not all heartless robots repeating the same mechanical shticks, but for her efforts to assist Daniel, her boss tells her off for setting a dangerous precedent. So much for the light of hope.This is not a neutral film, obviously, it's a powerful ""J'Accuse"" against the system and it's Ken Loach after all. But Loach and screenwriter Paul Laverty did their homework before starting shooting, collecting as many items of confidences to build their story. A man losing his disability pension because of a seizure during a meeting, another sanctioned for missing an appointment because of his father's funeral, hardly what Daniel and Kathy went through. Indeed, reality is as surrealistic as Asterix' ""House That Sends You Mad"". But you might lose a little more than your marbles here, money, dignity, life, you name them. Loach deliberately didn't chose a handicapped person because the case would be 'too' obvious, he picked two healthy-looking people to make their case more administratively ambiguous. From our POV, they're responsible enough, which makes their breakdowns more difficult to watch.So we get some harrowing moments such as Kathy opening a tin of beans in the Food Bank (an episode that would earn her daughter mockeries from her schoolmates), we see her shoplifting and almost pushed into the worst possible scenario job-wise and meanwhile Daniel is only forced to trick the system and asks for unemployment benefits. The catch is that he's got to endure these training sessions where they lecture you about these magical 'ten seconds' (and boy, I went through that), he gets insults from a man who genuinely wanted to hire and learned that he only did that to get allowance, and on the phone, Daniel can't even articulate a reason ... too rational to swallow the only medicine he can get. The closest to comedy is the running gag of the phone calls where you've got to endure Vivaldi for hours (again so true to life) and the ultimate breakdown moment where Daniel makes a temporary buzz by tagging his protest on a wall and even mention the music.That scene isn't shown like a triumph but the last burst of rebellious dignity from a man who always kept a low profile and tried to live normally in that world of nonsense. I wouldn't spoil what goes after that scene but in totally unglamorous and un-Dickensian fashion, that fits the depiction of the paupers' lives in Newcastle, Loach provides an extraordinary depiction of a system that is far sneakier than a real movie villain and that contaminated every town of the civilized world. The nightmares of job centers, these places where unemployed people must regularly register, wondering inside how come the people who work there have that job. And Loach reveals that some workers did tell them that they were forced to act that way, many felt ashamed, many didn't even stay, some were fired, which is like imagining former prison guards going to jail. I used the term ""surrealist"" but that fits the purpose of Loach who denounces the fact that these people are supposed to find jobs that don't exist and the real mockery is to make them believe that it's their fault, not enough motivation, not enough guts or a not so eye-catching resume. In the end, they're lazy, they're parasites, it's all their fault.Today, the pandemic is still going, we don't live, restaurant owners see their lifetime investments being dilapidated, but the government ensures us that it's our fault, for not respecting safety precautions. It is a tough world for the little ones, thankfully, Ken Loach is still here to defend all the Daniel Blakes, all the Kathies of the world. A well-deserved second Golden palm win!"
" Socialist tripe
",2021-02-07 00:00:00,1,"Political nonsense, dreadful acting and poor direction"
" Great social commentary
",2021-01-25 00:00:00,9,"This film is an accurate insight into the current benefit system, operating in the UK.
The outsourcing and budget cutting in public services, has resulted in a complete breaching of claimants human rights. The right to privacy, autonomy and respect.
The only thing I will say, is that this film could lead to the removal rather than a restructuring, of the benefit system. That would be truly awful."
" Very well act outstanding
",2021-01-15 00:00:00,9,"I believe It's close to la miserable novel .
And highly recommended for someone who believe to feel the injustice community."
" Tritely
",2021-01-09 00:00:00,2,"Take the Knut Hamsun's ""Hunger"",
mix it with Akaky from Gogol's ""Overcoat"",
add Sonia from Dostoevsky's ""Crime and Punishment""."
" Only rated so high because political
",2020-12-21 00:00:00,4,"The acting is noticeably subpar, the story is predictable and the script very immature. Feels like a B movie.
People only rate this so high because they agree with the sentiment of the film, a charge against UK bureaucracy."
" 10/10 all day
",2020-12-20 00:00:00,10,"Brilliant film, well worth spending the time to watch. I can honestly say I have never shed a tear over any other film than this ever. This could have a universal message but being British it really hit a spot due to my political views. Excellent."
" Attack on the heart
",2020-11-28 00:00:00,9,"Whether Loach is concocting vitamins or poisons seems to vary wildly from viewer to viewer. It might help to consider the fact this film tells ""a"" story as opposed to ""the"" story.As such pitting the failings of an increasingly corporate body of government pitched vs the feeble human body of citizen Blake, one will always fear the outcome might well be : the operation was a success, but the patient died.The story doesn't just rest on its significant anti-bureaucracy everyman-as-underdog laurels though, the charisma of Dave Johns as Daniel Blake keeps the film alive. Mix in compassion received and bestowed by him and that's the not-so-secret antidote proposed. A dose of humanity prescribed. Will it be delivered in time?And not just between the accidental family that springs up between Blake and the single-mother with two kids. Strangers in the library, the neighbor ""China"" trying to out scheme the brand-name schemers, and I'd add especially the woman at services office (was it Ann or Claire, I remember she had a name-tag and tried to be more than that with both water on visit and some screen access the other).Scenes at the food pantry and with the employment search definitely tough pills to swallow no matter what you think it is, but those scenes of compassion of striving to treat another with dignity, I think that's the simple message here, not easily filled out in triplicate.Anyways a fine film."
" Working class hero
",2020-11-07 00:00:00,9,"A powerful movie about the struggles of decent ordinary people, in a world which says it is your fault if you didn't make it."
