title,date,rating,review
" Average Comedy with a good premise
",2021-03-15 00:00:00,5,"I liked the premise of the story and the unlikely bond between Ashby and the main lead. It had its funny moments but sometimes I just hated the boy but at the same time he felt like a real person who is too nosy and stupid. 1/2 for the premise and 1/1 for the plot setting.The directing and cinematography could have been better but it was okay. 1/2 The cast did a good job portraying their individual roles and hence 1/2. finally, I give the movie 1/2 as it was not as entertaining as I expected it to be."
" One small tiny detail....
",2021-03-06 00:00:00,1,"Let's discuss the scene with the MRI in the basement. First of all let's get educated on what MRI stands for. It stands for magnetic resonance imaging. Although an MRI does not emit the ionizing radiation that is found in x-ray and CT imaging, it does employ a strong magnetic field. The magnetic field extends beyond the machine and exerts very powerful forces on objects of iron, some steels, and other magnetizable objects; it is strong enough to fling a wheelchair across the room.
So let's take a look at where this MRI machine is placed in the room. Look to the right and to the left and when they pan around. Oh, don't forget what she is holding in her hands and what he is wearing....metal. Turn that machine on and they would be impaled on bludgeoned by all the metal objects in the room (have you seen the movie Twister?). Good grief. Oh, and not even a neurologist would have an MRI in his basement. SMH."
" I'm glad I watched it.
",2021-02-27 00:00:00,10,This movie is soulfood. Its really pretty. I really loved Rourke's depth. His wardrobe was great too.
" Better than expected
",2020-07-16 00:00:00,8,"How many of these movies have been made? Young person. Quirky old person. Heartwarming plot. Sad ending. Pretty formulaic. I was not expecting it to be good but I like Rourke so I gave it a chance. Absolutely nothing original about it. It's not Harold and Maude, but I enjoyed it. All 4 of the main actors were good as were their characters. 8 might be a little high but I'm going with it"
" dont understand of some things....
",2020-04-01 00:00:00,7,Is the police gonna ask or detains Ed for being driver to ashby after the first kill scene?
" A Tale Of Two Movies
",2020-03-20 00:00:00,7,"Surprising & entertaining, there's a weird time displacement in the movie as the scenery & the feel suggests the early 80's but then you see a laptop and a tablet. There's a point in the movie where the story/plot switches gears somewhat abruptly and it becomes a different movie than what you started out with. Emma Roberts is cute & adorable in her role. Mickey Rourke has seen better days. Sarah Silverman's looks are never her problem & she has some cringe worthy lines that are outstanding (not in a good way) & her actions as a mother are embarrassing to watch but you do get some empathy for her son. Enjoyable movie, I wasn't disappointed."
" Good Movie, The Good, The Bad and The Ugly
",2020-02-06 00:00:00,7,"This movie has the crotchety old man who sort of mentors the young boy...unfortunately, he kills a lot of people along the way. As weird as the story is, somehow it made for a good movie. Parts of it were laugh out loud funny - even through it's not a comedy. There were a lot of things that were just too far fetched ...like a high school kid running a CT scan machine! But I guess we all know it's fiction!"
" Ashby
",2020-01-07 00:00:00,4,Ashby is an unoriginal coming of age dramedy. Misfit Ed Wallis (Nat Wolff) has moved into a new town after his parents have split up.Ed is a smart alec who wants to try out with the high school football despite not having the build and is a bit of a nerd. He fancies classmate Eloise (Emma Roberts.) Ed also has to put up with his mother (Sarah Silverman) who likes casual sex.Ed gets friendly with his crusty neighbour Ashby (Mickey Rourke) who he initially approached to find out more about old people.Ashby gets Ed to drive him around to places and they find out more about each other. Ashby is not a former napkin salesman as he claimed but a retired CIA hitman. He is also very ill and has a short period to live.While Ashby makes amends that he might have been used to kill people that were never a risk to national security. He also teaches Ed a little about life and how to defend himself. In short Ashby becomes a father figure to Ed.It is all very hard believe. Ashby and Ed bond very quickly. Ed turns out to be a very good fast receiver on the football field. Ed easily strikes up a relationship with Emma when all through the movie I found Ed to be a mouthy irritant.Ashby is watchable enough but is a half baked hybrid of various high school themes themes with an uneven tone.
" Not terrible, but nothing new
",2019-12-30 00:00:00,3,"Well, I watched it to the end, so it can't have been all that bad.While there's a sort of story here -- boy-striving-to-become-a-man befriends old-man-close-to-death and both learn something from the other -- the characters are largely unbelievable. And while there is a sort of conclusion, the journey felt remarkably aimless.I almost gave up when the smart ass sarcastic teacher was doing what seemed to be an over-written stand-up routine in front of his class. But I'm semi-glad I stuck with this -- though that should be viewed as very faint praise indeed (hence the 3 out of 10)."
" Great indicator of how strange, mixed-up & pointless this is
",2019-12-19 00:00:00,3,"I fell asleep half-way thru watching it. It took me about 48 hours to realize ""Hey. I never finished watching that film. Or, did I finish? I don't 100% remember. What was the point? Did it make it? Where was it going? I don't know."""
