title,date,rating,review
" Exaggeration
",2021-04-03 00:00:00,1,"At one point it was a grade of 8, but this is an exaggeration!"
" Comparable with the craftsmanship of the Notebook
",2021-03-29 00:00:00,9,"I'm not really a fan of romantic movies and therefore only the best is good enough.Despite the title of this review I also do not like to compare movies.Sure maybe some critics find that the younger version of the characters have not a lot in common with the ""present"" in the movie but that is what live, bad choices and trauma's do to you.An unexpected ending completes this beautiful movie which you have to see before judging.It is even more rare for me to see a movie twice but only the best once only get a review after I get to see it again after a couple years. This one touched me as much as years ago.It really moved me, which is rare and that is why I do get l (touch to) low score on IMDB."
" went in hopeful, left uneasy
",2021-02-10 00:00:00,3,"This movie was quite jarring. i went in watching it for james marsden, and left rather disturbed/uneasy. beware."
" The plot of a horrible movie
",2021-02-06 00:00:00,4,"Can't find a really convincing reason why some people like this movie ??
The movie was one of the worst romantic films ever, the plot of the film was repeated in a very banal way, the ending was stupid and far from logic, and add to that (depressing) !! Why?!
A child is about to die in a car accident. His heart is injured (about to loss its beats) ... and Boom! he's now in dire need of an urgent heart transplant. And by the strange coincidence (his mother's former lover gets shot and dies in a completely distant state) and by chance again .. Hospitals all around The US ignore all patients on the waiting list who need a heart transplant .. And the heart of the former lover goes to her son !! Are you really serious?!!"
" The Best of Nicolas Sparks Don't Miss
",2021-02-01 00:00:00,10,"Having just seen ""The Choice"", another Nicolas Sparks movie which I find enjoyable - moved by great dialog and titulating chemistry between the lead characters, but the plot was simple - ""The Best of Me"" is much more intricately woven, infused with great trauma and tragedy . Now I understand why Sparks fans rave about this novel over his other works. Mr Sparks is a model of
efficiency - every character has a precise role in this screen play. While the interleaving of young Dawson and Amanda's love story with present day reunion takes some getting used to but you'd find the story ultimately satisfying. The story begins interestingly of two former lovers called to a
reading of the will at an athorney's office after an old friend passed away. Tuck,the old friend was a father figure to young Dawson who took Dawson in when he ran away from an abusive father. And he also defended him when the Dawson clan came for him. The wise & benevolent Tuck bequeathed his estate to both of them. Because of a deep hurt and abandonment due to tragic
circumstance, Amanda is cool at first upon seeing Dawson yet they have to spend time together to clear the belongings. Old memory is rekindled. Soon, everything that drawn them together as young lovers slowly returned, until they become fully engaged in each other again. The morning after spending a passionate night, Amanda takes a call from her teenage son. It is the usual mom thing. ""I'd see you soon, love ya"" says Amanda in closing the call. Dawson senses their moral quandry that Amanda has a life, a family to return to, tells her ""We really can't do this, can we?"". The story kicks into another gear when Amanda returns to her husband. I will not spoil the meticulous plot. Sparks' book is structured with multi-layers around the central characters. While it is not high literature, but it still strikes the right cords, asking some profound questions, especially the letters from Tuck to Dawson and Amanda, and the letter from Dawson to Amanda after she returned home. If you are like me, you'll find this movie highly gratifying and come away loving that special someone even more than before."
" BEAUTIFUL FILM
",2020-10-14 00:00:00,10,"TOUCHED EVERY ROMANTIC NERVE IN MY BODY. MOVED ME SPIRITUALLY.
USED UP A LOT OF TISSUES.
LEFT ME SMILING.
ACTING, DIRECTION, AND SETTING ALL TOP RANGE. THANK YOU."
" Unremarkable
",2020-09-03 00:00:00,3,"Have watched this before but the movie was so unremarkable that I accidentally watched it again. I just had to say that they have very poor casting. The younger versions didn't looked even the slightest bit of what they portrayed when they grew older. Young Dawson even looked older and more mature than his older character.
The story plot is predictable. Typical conflicted love story."
" Amazing love story...
",2020-08-13 00:00:00,8,"Lovers reunite after 20 years in a village home..really its a feel good movie...
Worth watchable..."
" Hmm
",2020-07-25 00:00:00,7,"The young characters, Dawson and Amanda, have a lot of chemistry and great potential. Loved that story. But the adults have no chemistry at all, and the ending sucked."
" Beautiful movie
",2020-07-25 00:00:00,10,"Wow, so beautiful, no words left. But so sad for Dawson omg. Why did it end so hard. Pff. When Dawson came as an angel in Amanda's room. I knew he already past away. I really didn't expect the family Cole to be so agressive in a nice romantic movie like this. A bit shocking. I loved the movie. Loved it. Sila (the Netherlands). A 10 score for me"
