title,date,rating,review
" my opinion
",2021-03-22 00:00:00,9,"The way of Describe Juvenile of the scenes is makes me gives the movie good ratings, it's amazing!!, and the cast do well too"
" Worthwhile watch.
",2021-03-04 00:00:00,6,Enjoyable in that it isn't a difficult watch. Something to put on and relax and enjoy. Enjoyed Jonah Hill's wild character. Funny stuff.
" enjoyable
",2021-03-02 00:00:00,5,Enjoyable. but the voiceover by miles teller was annoying. not a movie i'd watch again but enjoyed it while watching
" Jonah Hill is fat again
",2021-02-28 00:00:00,6,"An odd but enjoyable film
Just strange
Don't know how to explain it
They become gun runners but are really unlikeable"
" ""This is about being pro-money!""
",2021-02-27 00:00:00,7,"I watched the movie and still can't believe it's based on a true story! How these two guys with no background or expertise managed to become big time, international arms dealers is beyond comprehension. Now I've seen Jonah Hill in a number of vehicles but never this huge, that was rather shocking. This was my first look at Miles Teller, he had a nice All-American look, but both guys looked so young to pull off what they were doing that it defied belief. The biggest disconnect occurred late in the film when it was stated that it would take fifty men eight weeks to repack a hundred million rounds of Chinese ammunition to sell back to the United States government. But then Efraim (Hill) didn't pay the box guy the paltry hundred grand that he asked for! That right there demonstrated what a creep Efraim was, when he stood to rake in millions on the contract. Besides the fact he was going to screw his partner. And then he only got a four year prison sentence while Dave Packouz got merely a seven month house arrest! Just goes to show, if you want to screw the government and pretty much get away with it, do it in as big a way as possible."
" Pretty bad
",2021-02-26 00:00:00,3,I lose faith in ratings when I see this movie is maintaining a 7+ rating. It's a joke
" Solid Film, Much Better then I was expecting
",2021-02-26 00:00:00,9,Usually these types of films leave you bored. This one really caught my interest.
" Wow
",2021-02-22 00:00:00,9,This movie is amazingly funny and thrilling Jonah hill is one of the best comedy actors ever.
" Entertaining and eye-opening
",2021-02-15 00:00:00,8,"Things I liked: Jonah hill's laugh and performance, the story is crazy, and the soundtrack matches the film.Things I didn't like: miles teller's performance was uninspired compared to whiplash."
" Good movie but not a comedy
",2021-02-14 00:00:00,8,"Good story, good acting and some funny lines, but not a comedy by any stretch of the imagination. That said, seems worth watching."
" Good movie
",2021-02-13 00:00:00,8,"Good flick, enjoyed every pert of it. Great story, great acting - Jonah Hill was excellent as usual and the sound track was excellent. Definitely enjoyed it."
" Interesting concept
",2021-02-12 00:00:00,6,"An interesting story, which tells a different side of war than what's typically depicted. Decent acting and cinematography. not sure about the narration style, felt choppy."
" Damn this was sad
",2021-02-11 00:00:00,4,"This script was sooooo flaaaaat. Boring characters, empty performances, completely mondane."
" Solid movie
",2021-02-10 00:00:00,7,"Although this is based on a real story, my only issue is there's a lot of exaggerated Hollywood spins on things. But regardless, it was a fun and entertaining movie thats definitely worth the watch"
