title,date,rating,review
" Love love love
",2021-04-05 00:00:00,10,"How good are the underworld movies... seriously great in every regard.The acting
The plot
The special effects."
" My least favorite of the movie franchise. Too much David. I didn't care about him or his history. Spiritual mumbo jumbo made up here. Selene is still great.
",2021-03-05 00:00:00,6,"This appears to take place far into the future. In the first couple of movies, Selene is 600 years old, here she describes herself as being 1000 years old. So whatever happened with the war with humans is kind of forgotten about. I'm guessing because the previous movie wasn't liked very well. But it's kind of confusing because of the the tiny flash of her daughter has her looking really young.Too much David, Selene's fanboy. I don't care about him. I don't care about his history. Not enough Selene. But I loved her every moment they had her onscreen. The spiritual stuff was kind of stupid. They just all of a sudden make it up here.Selene being tired of ""the life"", or leaving her daughter didn't seem to ring true. This is badassed Selene we're talking about here. No way!. She can take care of her kid, especially since said-kid can take of herself.Semira was one-dimensional. Marius was a punk. Varga was a wimp. See how impressed I was with these new characters.The movie didn't have a cheap look like the last movie, so that was good. Had some nice building structures and scenery.I hope if they make more movies they don't decide to make David the star of it. I'd have to stop watching then. As it is, they killed Michael off in this movie as we find out what happened to him. I feel like that act sums up this movie and the state of the franchise. Selene was still great in the action scenes and I still enjoyed her journey, tho not crazy about the whole elder peace guru stuff.I think they should have went with something else in Selene's past history in order to create the plot for the fifth movie. I think the big issue seems to be that the writers didn't know what in hell to do with the kid. Even if she was grown-up now, it sort of stuck Selene in a corner they didn't know how to get out of, so basically they sent the kid away, yet the plot is all about her.I didn't hate it, but I didn't love it. However I still love Selene. I still think she's an awesome female character. And I love watching her action scenes. 6/10"
" More of the same
",2021-03-02 00:00:00,4,"Fifth instalment in the Underworld franchise, Lycans (werewolves) versus Vampires, Vampires versus Vampires, Vampire loves Lycan, treachery, double crosses, lots of flashbacks, if you are familiar with these movies then you know what to expect. And lots of CGI, pretty cheap and cartoonish looking. Personally I've completely lost interest in the story but there are two reasons why I have continued watching the series. Firstly I am a horror addict (this film is a an action/horror with the emphasis on action). Secondly, Kate Beckinsale dressed in tight black leather and kicking some serious ass! She herself has apparently said that this is her last but no doubt, with or without her, there will be more."
" Game of Underworld Thrones!
",2021-01-28 00:00:00,5,"The fifth and hopefully last entry in the Underworld franchise. Underworld: Blood Wars was released in (2016) and is probably the most generic and forgettable action movie in the entire franchise. The previous entry Underworld: Awakening (2012) was an attempt to revive the franchise adding new characters and a new storyline that took place in a more modern day setting. Awakening failed to add anything of interest or worth to a storyline that should have ended with Underworld Evolution (2006). Instead of rebooting the franchise or doing something ""you know"" different the writers and producers of Underworld just keep adding more and more lazy plot devices to a story that ended over ten years ago just to make money.The story this time around follows Selene (Kate Beckinsale) shortly after the events of the last movie. Selenes daughter Eve has since abandoned her and made her promise never to come looking for her so neither Vampires or Lycan can hunt her down and take her blood. Selene remains an outcast to her kind. She now roams the city still looking for Michael but never finding him. The war between Vampires and Lycan continues to rage as the last of the vampire covens reaches out to Selene through David (Theo James) the young vampire she brought back from the dead in last movie and his father Thomas (Charles Dance). The covens council made up of the last of the oldest vampires enlists the help of Selene to train a new generation of Death Dealers so the coven can survive an attack by a new Lycan clan led by a new powerful Lycan named Marius (Tobias Menzies) who is also hunting for Selenes daughter Eve. Selene along with the help of David uncover a traitorous plot devised by council member Semira (Lara Pulver) to steal Selenes powerful blood so she can rule over the last of the vampires without the council.The previous entry took place in a world where humankind knew of the existence of vampires and lycan and were at war with both species. Humankind hunted both species down almost to point of extinction with both vampires and lycan barely surviving. In Blood Wars however humankind have just simply forgotten about those pesky vampire and Lycan theres not even a footnote explaining what happened nothing. Throughout the entire movie the only time you see humans is during overhead shots of the city and when Selene and David take a train journey that's literally it.This is undoubtedly one of the most boring and generic vampire/werewolf action movies I have ever seen. The action what little there is of it is just vampires and werewolves shooting each other with guns GUNS! for god sake when they have fangs and claws and the Lycan can even turn into savage werewolf creatures but instead they just shoot each other and use riot shields. The first two Underworld movies were filled with so much blood and gore that it was awsome to watch for action alone. The Lycan only transform a few times throughout the movie and the transformations look awful and CGI heavy with no blood or body transformation effects like in the first two movies.Kate Beckinsale and Charles Dance are the only ones in the entire movie with any real acting talent. The cast are so bland and generic looking that you could put them in any teenage action movie like The Hunger Games or The Divergent series and they would fit right in.Don't waste your time and money watching this movie it's arguably the worst movie in the entire franchise and hopefully it will be the final entry before they do something even more ridiculous like Underworld in space."
" Selene's Final Battle
",2021-01-17 00:00:00,3,"'Underworld Blood Wars' represents something of a milestone as it's still one of the few action movies with a heroine in her forties. But sadly Kate Beckinsale declared after this anaemic fifth instalment that That's All Folks; so there's little chance of seeing her don her fighting gear to continue going Hell for Leather as the vampires' ""most deadly death-dealer"" at fifty. Alas, in what is probably Selene's farewell to the screen she's absent from much of the action anyway; and for far too much of her time onscreen (save very occasional highlights like a scene demonstrating injury techniques to an audience of trainee death-dealers) wears a greatcoat over her catsuit.As befits a film directed by a woman there are more female characters in this one, but like everyone else in the film they all talk far too much in hushed tones and at great length. One keeps wishing everyone would lighten up for a moment; and to call it incoherent implies there was ever a plot in the first place. If there WAS another instalment maybe Phoebe Waller-Bridge could be brought in to give the proceedings a bit more focus and humour."
" Huh?????
",2020-12-16 00:00:00,10,Fighting to end an eternal war??? Is that even a thing??
" Continuation of the ""Underworld: Awakening""
",2020-12-12 00:00:00,1,"No story, no plot, no meaning! Just like ""Underworld: Awakening"" this movie is empty and soulless. If you liked original trilogy, you will be utterly disappointed."
" Underworld: Blood Wars
",2020-12-05 00:00:00,10,"Great to see Kate Beckinsale in latex again. The action is supe-choppy and sloppily made film.
I wouldn't recommend watching this if you haven't seen part 1,2,3,4!"
" So sad
",2020-11-21 00:00:00,3,"The previews made it seem like this was going to be a good movie, boy was I wrong. This is the worst film in the franchise. Boring dialog, boring scenes. Stupid pacing, players doing stupid things. Poor timing of scenes. Stupid musdled plot. The villain had zero presence, was not scary or intimidating at all, did not have the charisma of the actor who played Lucian in the other movies. Oh, did I say this movie is so boring. Did not care one iota about any of the characters. There are long periods between action scenes and the action was subpar. In some of the gun scenes I was like ""They can't hit anyone waving a machine gun in close proximity? "" there just was zero but in as far as the motivations for the villain."
" Underworld: Blood Wars
",2020-10-19 00:00:00,4,"The Underworld movies have been a mixed bag over the years, the original was adequate, Evolution was boring, Rise of the Lycans was okay, and Awakening was silly, so I had pretty low expectations about this fifth film in the franchise. Basically, the war between the Vampires and the Lycans wages on, with the Lycans, led by Marius (Tobias Menzies) close to defeating the Vampires. Vampire death dealer Selene (Kate Beckinsale) is fighting both sides, as she betrayed her own kind. Her only allies are her protégé and Vampire hybrid David (Theo James) and his father Thomas (Charles Dance). In between the fighting, Marius is searching for Selene's hybrid daughter, as her blood is key to defeating the Vampires once and for all. The Lycans attempt to capture Selene, but after defeating most of those sent in a fight, she spares one and tells him to tell Marius that she does not know where her daughter is, as she has cut ties with her. At the same time, fiercely ambitious vampire Semira (Lara Pulver) tells Thomas she wants Selene to be granted amnesty so that she could train new Death Dealers to deal with the Lycans. They grant it and send word to Selene who comes and trains the aspiring Death Dealers. But Semira has Varga (Bradley James), her ally and lover, poison Selene and slaughter the trainees, framing Selene for the atrocity. Selene is paralysed and her blood is drained, Semira intends to drink it to steal her power. David learns of what Semira, and alongside vampire warrior Lena (Clementine Nicholson) they rescue Selene and take her to a safe stronghold. Semira drinks the blood taken from Selene and kills Eastern Coven vampire Alexia (Daisy Head) for treachery. David returns where he presents himself as the rightful heir and denounces Semira, even Varga deserts her, and she is taken away to the dungeons. Marius and his forces attack the walls of the castle, and Selene suddenly reappears to do battle, dispatching the Lycans. There is a moment when Marius subdues Selene and confronts her himself to find out where her daughter, but he realises that she genuinely has no idea of what has happened to her. They later fight each other, and a drop of his blood touches her lips, and suddenly she is suddenly flooded by blood memories of Marius finding Michael, the father of her daughter. She sees Marius capturing Michael, then slitting his throat to collect his blood and consume it. Although Marius has transformed, Selene rips out his spine, killing him instantly, while David kills Semira, who is distracted finding that she can walk in sunlight. In the aftermath, Selene, David, and Lena are chosen as new Elders. It ends with Selene seeing what looks like her daughter Eve, who has telepathic powers that would help lead her, walking in the distance towards the sanctuary. Also starring James Faulkner as Cassius, Peter Andersson as Vidar, and Oliver Stark as Gregor. Beckinsale is fine as the tough leading female, British talents Dance and Menzies also do well, and Pulver is memorable as the fiendish female villain. If you have not seen the previous films, then the good news is that it opens with a flashback to all four previous films, and there are other bits and pieces of them throughout. I'm not going to pretend I understood or cared about previous events, I didn't pay much attention to be honest, but at least the fight sequences and special effects are good, like the others, a below average action horror. Okay!"
