title,date,rating,review
" Thrilling courtroom drama
",2021-03-11 00:00:00,8,"The Holocaust denial historian David Irving is suing his American colleague Deborah E. Lipstadt, a Holocaust specialist. He did not accept that the latter accused him in a book of falsifying history. The trial, whose outcome is anything but obvious, is held in England. Frustrated at not being able to speak for herself, Deborah is well represented for all that by the lawyer Richard Rampton.Based on the transcripts of the Irving vs. Lipstadt trial that took place in London in 2000, Mick Jackson's film exudes authenticity. The question of Holocaust denial and how to combat it, which is at the heart of the debates, is posed with a commendable clarity that is never boring. The pace is lively and the suspense effective (which of the two enemies will win the battle is impossible to guess until the very last moment). The film is further vitalized by its trio of actors, fully invested in their roles: Rachel Weisz, a raging ball of nerves, Tom Wilkinson, calm and reassuring as the experienced lawyer he plays and the talented Timothy Spall (Peter Pettigrew, Voldemort's servant in ""Harry Potter""). He really looks the part, if there is such a thing. With all these virtues, ""Denial"" will please everyone, except the deniers!"
" Surprisingly effective courtroom drama
",2021-02-07 00:00:00,7,"An American academic (Rachel Weisz as Deborah Lipstadt) has to defend a libel (written defamation) suit in London - based on real events.Making an entertaining and authentic movie out of a 32-day libel trial in an English court (with no jury) is no mean feat: Denial delivers the goods, and there's very little wasted screen time. Much emotional impact is wrung from the fact that it's about the denial of the WWII holocaust by self-styled historian David Irving. The defence team has to prove Lipstadt's claim that he deliberately falsified his stories.Timothy Spall's performance of Irving is as unflattering as Scott's portrayal of Julius is flattering. I was a classmate of Anthony Julius (the lead solicitor, who gently but firmly educates Lipstadt in the mysteries of English law), and it's very strange watching a handsome, slim, sexy actor (Anthony Scott) doing an impression of somebody who would to have had a major makeover in the intervening 20 years to look like that! (Sorry, Tone!)Spall's Irving comes across as completely batty, rather than wicked, though Irving represents a tiny part of English society that is very real and very nasty. But hey, SPOILER - history is written by the winner.It's a slick, atmospheric, expensive movie, best watched with a good bottle of claret, probably. All that's missing is a bit at the end where it would say, ""Mishcon De Reya (Julius' law firm) - because you're worth it."""
" EXCELLENT FILM WITH GREAT ACTING and MESSAGE
",2020-12-20 00:00:00,10,"""Denial"" is based on the book ""History on Trial: My Day in Court with a Holocaust Denier."" It is the story of Deborah E. Lipstadt (Rachel Weiss) and her legal battle in a libel trial brought by David Irving (Timothy Spall) a pathetic figure blind to how his racism and antisemitism corrupted his writings and beliefs. Deborah must prove that the historian lied with intention. Of course for any sane human being, it's beyond belief that a Holocaust denier could achieve even a modicum of attention or notoriety, much less have the audacity to bring suit against a scholar who simply published descriptions of that denier's own words. (Tom Wilkinson) is the outstanding, impressive barrister Richard Rampton who advocates for Ms. Lipstadt and Penguin Books. He must prove Irving was a racist, an Anti-Semite and knowingly misrepresented the facts in his works as a Holocaust denier. Though courtroom drama and corresponding legal work takes up much of the film, the most moving scene was the team's visit to Auschwitz. Heart and soul scenes that speak for themselves. This film is well-written, well-acted, directed and thought provoking. The court exchanges are acted out verbatim - as they actually happened. A reminder of how current society continues to struggle with such inexplicable thoughts."
" So fantastic
",2020-05-22 00:00:00,8,"This is a film based on a real case, focusing on the existence of the auschwitz massacre. It introduces the characteristics of the British legal trial in detail, and the debate in the trial is also very exciting. It is a good legal film, and more importantly, it shows the judicial justice.
Finally, the female professor won the lawsuit, she said with emotion; It turns out that the truth of history can be tried in court. She told survivors who came to find her. You have not been silenced in the court, but your voices have been heard all over the world by the verdict and in the annals of history."
" Worth it for the opposing side alone.
",2020-05-17 00:00:00,8,"I've been intrigued by this movie for many years but always forget to look it up. I found it on Hulu today and was impressed. My main morbid curiosity was watching a holocaust denier defend himself. As I expected, it was embarrassing, which is why he lost the case. He grasped at straws the whole time. I kept waiting to see how he'd crawl out of the hole he'd dig himself. The worst part was the footage of his speaking and people applauding his nonsense. The fact that multiple people like that exist is terrifying. I think people are being cruel to Weisz's performance. Her character was essentially silenced, and she owned every scene she was allowed to express emotion in. Another thing people aren't taking into account is this film was 1998ish. There's too much complaining about the dialogue (all taken verbatim by the way) the style, etc. it is true to the time. It does not take place in 2016. Maybe the most important lesson we learned about this movie is people need to pay better attention."
" Wonderful cast
",2020-05-03 00:00:00,8,Rachel Weisz always delightful to see her on the screen.
" Could have been a classic with better casting
",2020-04-25 00:00:00,6,"This is an ok film to watch though I'd expected more. Tom Wilkinson and Spall are great, however Rachel Weisz and andrew Scott are tragically bad and amateur."
" Worth the watch for the content
",2020-04-19 00:00:00,7,"Particularly interesting for the subject matter and an important piece of recent history. Though made in 2016, however, the movie views like it was filmed in the 90s, which is a bit weird, but perhaps intentional?"
" In denial, and that is final...
",2020-03-24 00:00:00,7,"Two neo-Nazis confront one another in a conversation midway through the 2001 film ""The Believer"": one denies the Holocaust happened, the other berates him and says '...of course it did - why else would there be a reason to idolise Hitler if he wasn't responsible for the deaths of all those Jews?' Well, why indeed? We know the Nazis hated Jews and Jewry, first through the words of Mein Kampf and then through the post-1933 actions of their government when the race was socially marginalised; taxed unfairly; boycotted and then eventually had synagogues and any real-estate either vandalised or confiscated. We know concentration camps existed, but that they were different places in 1944 compared to 1934. We know that Eastern Europe was once swimming with Jews, but that now the population of Israel alone is something like a mere eight million. Where did they all go?None of the above is, in essence, 'deniable' - we are aware it physically happened and in a very particular order, but what does any of it necessarily say about the fact there were/were not gas chambers at Auschwitz? 'At Auschwitz...' Raul Hilberg once said '...history was destroyed at the same time history was made'. Indeed, and the whole thing is still rumbling on - still creating its own kind of history - in the twenty-first century.If the Second World War was fought on the grounds that Europe, even the world, was to be saved from Fascism, a constituent part of which is the removing of one's right to an opinion, should it not therefore be acceptable to allow one to one's opinion that certain elements of Holocaust are spurious? ""Denial"" is the taut drama, more a legal thriller, about the true-to-life case of British historian David Irving (Timothy Spall) taking the Jewish-American academic Deborah Lipstadt (Rachel Weisz) to court in 1996 on grounds of libel, a case which lasted for four years. It is something which eventually seems to spill out into a wider discussion on the holocaust's authenticity, when the matter is actually as to whether Lipstadt is right that Irving 'misinterprets evidence' and whether a gas fuelled genocide occurred at Auschwitz at all.The film certainly presents itself early on as a piece depicting a battle of wits between the aforementioned two - deliberately introducing them doing the same thing, public speaking, with Irving cracking jokes to affluent elderly men somewhere after a dinner and Lipstadt giving a passionate talk on the issue of Holocaust Studies in her day job as a teacher. A few scenes later, the two of them clash within the confines of this very kind of venue as Lipstadt is giving a lecture; Irving interrupts and crisply rebuts her 'facts', even embarrassing her, but then resorts to shouting and is eventually escorted out looking like a bit of a crank. Determined not to let that be the end of it, Lipstadt is informed of the aforementioned libel case against her and battle appears to commence.Despite this early pretext, what comes to transpire is Weisz's character essentially being depicted battling her male dominated legal team more than anything else, which occurs when they persistently advise her not to take the stand so as to allow the men to do the work. There is one woman in the team, however, but she's very young and it's her first time... Best to just let the men take care of it. I was struck, thus, by how strangely passive Lipstadt becomes in what seemed to be her own story as people do the work around her.Despite being part-produced by the 'impartial' BBC (the basis for many of the film's incidental scenes often seem to lie in a 2000 interview with Irving on the BBC's ""Hardtalk"" programme), the film goes to some length to depict Irving as merely a bit strange: the way he feeds jelly babies to his daughter; the way he gazes out of a rain soaked window; his raft of hand-written journals that line his shelves, somewhat of a iconographical trope in the thriller genre of the mentally disturbed. But is it really so wise, despite the subject-matter, to suggest that the audience take sides?One has to stress that there have existed instances of holocaust fabrication: memoirs written by people who actually spent the war in Switzerland; massacres in Polish towns attributed to the Nazis when, in actual fact, the USSR were responsible. Perhaps frustratingly, very little of this seems to infiltrate the film's universe. One must appreciate it is bound to depicting actual events and real people, but it struck me as an opportunity lost to be a little more daring. Irrespective, ""Denial"" offers much to get one's teeth into; knowing about as much as I did about the case, which was very little, going into the film no doubt enhanced the experience, a viewing experience I recommend."
" Quite moving and well done. Filmed on location at Auschwitz.
",2020-01-28 00:00:00,5,"Discussing the Holocaust and its deniers often requires a blunt object. The movie summarizes his personality and the arguments nicely.
Most of the cast have a personal connection to the Holocaust. Rachel Weisz's family immigrated in the 1930s to the UK. She portrays Deborah Lipstadt - born in Queens, studied in Israel and visiting Jewish communities in the Soviet Union. (She was arrested by the KGB on one trip). Apparently ""Bleeker Street"" Productions is behind this film. (Yes that's a spoof of Baker Street,) Bleeker Street created well regarded BBC shows like Sherlock. That show seems to supply most of the actors and a writer or two.
Consider the Bleeker Street stand outs and their real life counterparts:
John Sessions as Professor Richard Evans. His testimony was clinical, exhaustive and brutal. His professional findings were printed for the public. As depicted in the film, Prof. Evans, along with the defense counsel, Richard Rampton (played by the impressive Tom Wilkinson) were openly confrontational. Both men constantly interrupted Irving. But unlike Rampton, Evans considers German his second language. Evans lectures in German and his grad students all speak fluent German. And from what I know the men generally disliked each other. According to one interview I read, Evans once invited Irving to a dinner party. Mrs. Evans asked her husband to never invited Irving back.. Andrew Scott, Sherlock's nemesis, Moriarty, portrayal of Anthony Julius was excellent. I believe Scott's role was the first time I've seen him play a good guy. Sherlock co-creator Mark Gatiss plays another expert witness, the Dutch professor Jan van Pelt. His material was used by PBS Nova Holocaust on Trial. Gatiss' testimony about the wire pillars - was a key point in the 1988 Hermann Wouk's historical miniseries WAR & REMEMBERANCE.
And an honorable mention of a solid BBC dramatic actor: Alex Jennings as the judge, Mr. Justice Grey. Jennings' first big role came apparently in 1982's SMILEY's PEOPLE. He was a police constable who got sick at a crime scene. Jenning's part is ironic given that his portrayal of Justice Grey is as a ""sphinx' and inscrutably fair. According to the trial transcript, Grey's behavior relaxed Irving. He then gave himself ""enough rope"" so to speak."
" Absolutely Superb - Watch It And Judge For Yourself.....
",2019-10-16 00:00:00,9,"Very well written and executed account of David Irving's unsuccessful libel action against Deborah Lipstadt and Penguin books. All the more so for the fact that the court exchanges are acted out verbatim - as they actually happened.Well presented, dramatic and thought-provoking. I could go on at length - as some reviewers, especially the more negative ones, have done - on detailed aspects of this film but would urge anyone reading this to just watch it and judge it for themselves."
" Some People...
",2019-09-05 00:00:00,8,"Denial is a very nice little courtroom drama with a big impact. The performances are top notch, especially the acting vets Tom Wilkinson and Timothy Spall. The director lets the story make the impact, instead of style. It's hard to believe there are people in this world that have beliefs like these. The only thing I can say bad about it, is I wish there was more of the case which was always the most interesting part of the film. I could have watched the whole case unfold and been completely tuned in. I think there is only four or so scenes of the actual case. An underdog for holocaust movies with emotionally haunting scenes and one for the strong willed, who decide to stand for what is right.
80%"
" Enjoyable, but caught between two stools
",2019-06-03 00:00:00,5,"Is this about a libel trail in which David Irving is the plaintiff and Penguin Books Limited and Deborah E. Lipstadt are the defendants? Or is it about someone who is unfamiliar with a foreign legal system, who has to surrender to the better judgement of her legal advisers?Really, it seems to be a bit of both. The title of the film seems to refer not only to the ""denial of the Holocaust"", but also to Ms Lipstadt being denied her day(s) in court, since the legal advice she receives it that her appearance would be counterproductive.This film could have been much better if it had stuck to being one thing or the other; and if it had cast an American as Ms Lipstadt, rather than a Briton putting on a fake American accent."
" Slow and tedious
",2019-05-07 00:00:00,5,Not much of a story here. We've heard it all before and ultimately David Irving gets his just desserts. Tim Spall poorly cast as is Rachel Weiss so I was disappointed in both performances although that's more the fault of the casting agency and scriptwriters.A bit pointless really and revisiting this aspect of WW2 doesn't take us anywhere in my opinion
" A very biased move
",2019-04-28 00:00:00,3,"I watched the movie Denial on SBS, the producers had gotten the most surliest evil looking character to play the part of David Irving. And the most beautiful actress to play the part of Deborah E. Lipstadt. Such a biased movie. Actually David Irving is a very handsome gentleman with a great sense of humour"
" Taking From the Pages of History?
",2019-04-09 00:00:00,9,"Denial is a wonderful movie adaption of a gripping true story. Though a couple of decades old now, in an era of officially sanctioned ""alternative"" facts and liberally pedalled untruths, its story resonates just as forcefully now, as it did at the outcome of the trial which is the central focus of the narrative.The performances are uniformally excellent, especially those of the four leading characters. The very under-rated Rachel Weisz plays American author and historian Deborah Lipstadt upon whose part biographical book, the film is based. Her publishing company Penguin Books is sued for libel in the UK, by the self-styled and self-promoting David Irving, a so-called expert historian on Nazi German history. Timothy Spall plays the oily Irving, with just the right mix of reptilian fascination. Lipstadt, deciding to defend the case in London hires a legal team led by solicitor Anthony Julius and barrister Richard Rampton, which must prove that Irving had lied about the Holocaust to win the case. Tom Wilkinson is outstandingly good, as Rampton, reputed to be at the time, one of the best legal minds in Britain, an accolade we later learn he earned with good reason. Anthony Scott, whose work is mostly seen in the film's first half provides plenty of that quietly self-deprecating, understated humour for which the Brits are well-known and which adds just the right dash of comic relief to proceedings, which frequently cover exceedingly grim territory.Besides unveiling the overarching true contest about what constitutes true history and what is false and confronting issues of racism and anti-Semitism, Denial fascinates, with its detailing of the defence's trial strategy, with which for much of the lead-up to and trial itself, Lipstadt didn't necessarily agree. Ultimately she puts her faith in her legal team and is rewarded in a genuinely moving climax.Director Mick Jackson, whose cinema work I haven't seen for many a day, handles the production, like the defence team itself, in a smartly proficient, non-flashy manner. This is especially noticeable when the defence team tour the skeletal remains of the Auschwitz death camp in Poland, seeking to find weaknesses in Irving's historical accounts of Nazi actions. The temptation to recreate large-scale scenes of human horror are strongly controlled and only briefly hinted at.Denial is that rare cinematic beast. It's about as close as you'll come to getting a dramatised true story, without it falling into the documentary genre. Indeed much of the dialogue during the compelling trial scenes of the second half is taken directly from the courtroom records. I have to admit to some surprise that Denial didn't have a greater impact at some of the high profile awards ceremonies."
" Harrowing true story interwoven with Courtroom drama
",2019-03-28 00:00:00,6,"The often harrowing true story of a 2000 libel trial in the UK where the defence legal team had in essence to prove the Nazi Holocaust in World War II happened.The trial is between a renowned U.S. academic Deborah Lipstadt (Rachel Weisz) and Holocaust denier David Irving (Timothy Spall).
The casting of such a harrowing screenplay is excellent. Both Weisz and Spall give excellent performances ably assisted by a supporting cast including Tom Wilkinson and Andrew Scott.The film I'm sure hits more of a raw nerve amongst the Jewish population as they were the victims of the Holocaust.I must admit I had never even contemplated the term Holocaust denier before. The evidence of the trial rightly puts Irving in his place thankfully.I like courtroom drama and this film has loads of it. The peculiarities of the U.K. legal system compared to the U.S. counterparts are shown etc.There are moving scenes of the cast visiting the remains of Auschwitz concentration camp.
The subject matter is heavy going at times and that very point is put to the judge in deciding to dispense with a jury trial. It is definitely a film of historic importance more than 'entertainment' one would normally watch a film for.I have been impressed with Rachel Weisz in three films recently. The Favourite, Disobedience and this.
Spall has evolved such a lot from his bit part Brummie in the early 1980s U.K. TV show 'Auf Wiedersehn Pet'.The screenplay by British playwright David Hare is the film's strong point bringing such harrowing subject matter to the screen."
" The voice of suffering must be heard
",2019-01-25 00:00:00,8,"There's something that feels packaged and glossy here, and maybe a little bit off with Rachel Weisz's character (not sure if it's the role or the performance), but the subject matter, the true story of a libel suit brought by Holocaust denier David Irving against historian Deborah Lipstadt is compelling, poignant, and raises important questions. How does one respond to someone whose views are so distorted, whose mind is filled with racist filth, and who spews outrageous lies which stir up rage in both those who believe him and those who are horrified by him? Someone who is so far outside the norm that to engage him is to help mainstream him, but to be silent is to let his views go unchallenged and uncorrected? Someone who will quickly drag you down into the gutter he's in if you're not very careful? These are the questions Lipstadt and her legal team wrestle with, and as they're complicated and universal, I found great depth in this part of the drama.There is a parallel here to demagogues like Trump, and we see the most important thing we must hold on to - regardless of our political or religious viewpoints - is the truth. We must have truth, not ""alternative facts"", propaganda, or a re-writing of history which dishonors millions and is morally wrong. It's all the more important for monstrous events in history, the crimes against humanity such as the Holocaust. The voice of suffering must be heard, to paraphrase the film.It's in the clear-eyed, sober pursuit of truth by the barrister played by Tom Wilkinson, and in the scenes at Auschwitz, that the film is at its strongest. And as Lipstadt/Weisz puts it, ""Freedom of speech means you can say whatever you want. What you can't do is lie and expect not to be held accountable for it."" The film stirs up a proper amount of outrage, and for me had real tension. If you'd like a little extra helping of outrage and sadness, just read a selection of the low rating reviews out on IMDb, which seems to be a haven for the alt-right to attack films like this, or those starring or directed by African-Americans. I'm not saying if you didn't like the film you're in this group, but my god, reading some of those reviews is depressing."
" Good Enough
",2019-01-13 00:00:00,7,"I think Timothy Spall portrayed Irving superbly well.
This movie good enough"
" Close, but No Cigar: Denial
",2018-12-25 00:00:00,5,"This film had great potential. I've seen practically Holocaust film ever made, and three courtroom dramas on the Holocaust; Nuremberg 1960, Nuremberg (recent), and The Eichmann Trial. All of them were better than this one. Why? They had more authenticity and more likable protagonists. The only person believable in this film is the villain, Irving. He actually believes he is not a racist and anti-semite. He is extremely erudite, and despite his brilliance, is still a nazi. The woman who opposes him, Weitz, is just too whiny to be likable. Her annoying concern about people actually doubting the Holocaust ever existed is completely ridiculous. How could anyone forget it with the constant flow of Holocaust films that come out of Hollywood? The best of these, in my opinion, other than Schindler's List, is The Boy in the Striped Pajamas. I hated Life is Beautiful (because it wasn't for the people in the camps). Even Seven Beauties was better than this weak entry. Not recommended."
" Why does it keep raining until the final verdict?
",2018-12-15 00:00:00,6,"A sadly bland and pathos laden attempt at portraying the importance of historiography. Although revisionist bigots deserve all they get this film does nothing for the British legal system, Rachel's career or international opinions of the British.
This film should've been a much more in depth ans serious investigation."
" Biased movie
",2018-12-07 00:00:00,2,"Could not watch this movie without the constant feeling that I was being brainwashed.
It actually achieved exactly the opposite effect on me that it probably intended.... that is a sign that it is also a bad movie.
The historical facts ares much more complex than completely demonizing Hitler and the nazis, and it is difficult not to see this film a sample of propaganda. Spielberg was involved in the financing of the trial.... it is difficult not to see Hollywood financing this movie and the reasons for doing so.Not only Jews died in concentration camps, a significant number were not Jews, but there are no movies for them."
" A first-rate legal drama
",2018-11-09 00:00:00,9,"I recommend this movie for people who, like me, make time for conspiracy theories despite loathing them. Outside of the interesting ""intentionalist versus functionalist"" debate, ""revisionism"" erroneously connotes academic legitimacy. The title is therefore apt.All the dialogue pertaining to the defense's fascinating legal strategy went over very well with me. That and the much appreciated verbatim courtroom dialogue comprises most of the script. My positive impressions were reinforced by subsequent research into the trial. Denial delves into the sinister practice of Holocaust denialism at its best. I stretched my viewing over several hours and basked in the cerebral delight of it.Rachel Weisz has been given flak for a performance that did not leave me in want of anything. Though I would not say it was an award-worthy performance, I chalk that up more to the formulaic production than any shortcoming of hers. Tom Wilkinson deserves mention as her character's barrister. Timothy Spall is terrific as David Irving!This glowing review notwithstanding, Denial has the feel of excellent television, which is no way to compliment a feature film. The defense's true-to-life legal strategy necessarily undercut the film's emotive power. The scenes at Auschwitz itself are therefore especially vital to its success for me. Including London's Boadicea and Her Daughters was a nice touch."
