title,title_sentiment_score,text_sentiment_score,date,rating,review
" Not perfect but fun
",-0.6759,0.7562,2021-04-02 00:00:00,7,"Great message, good humour, fantastic animation. Definately more for adults than for kids. I actually watched this when it came out and didn't like it that much but I gave it another shot years later and did not regret it! I was not too fond of the song choices nor the amount of singing in the first half of the movie but the second half made up for it."
" Love magic
",0.6369,-0.6378,2021-03-05 00:00:00,4,"Too many songs back to back and at times can be cringey, but has some small funny scenes.The animation was decent and not hard to look at, it's bad but not God awful bad. check it out for yourself"
" A rip off of megamind, frozen and others.
",0.0,0.9931,2021-02-26 00:00:00,1,This has good concept but this is a huge miss potential the animation is ugly and it has too many songs its like there's no good plot and 80% is basically cheesy songs. Its suppose to be based off a mid summer night dream but I haven't seen anything related to that classic William Shakespeare play. Not mention it rips off movies like megamind and frozen and beauty and the beast.Why megamind is masterpiece because we got to know the characters more and plot is amazing we got villain turned good and fell in love with girl he liked.Please do yourself a favor do not watch this film go watch megamind or frozen.Nostalgia critic man your awesome even he did good when he reviewed it.
" Strangely bad, Magically terrible
",-0.8316,-0.6908,2021-02-25 00:00:00,1,A terrible juke box musical that promotes the use of roofys. The plots confusing and all the characters are terrible. Deleted this from the computer immediately after viewing.
" Why is anyone giving this a rating of over 3?
",0.34,0.9719,2021-02-13 00:00:00,3,"Where are all these 10/10 ratings coming from? Did I watch the same movie as everyone else? I'll take inspiration from Amber Heard's deranged mind and come to the conclusion that you're all just being paid for these outlandish reviews.
I have watched EraserHead, I have watched all of the Human Centipede movies, The Room, Tall Girl, etc. But this? I would never want to watch again.
The only reason I'm giving a 3 is because the animation is quite good, and the imp possum thing is cute.The story is something a child would come up with in creative writing class, and oh my god the songs; every 2 minutes you get some ridiculous out of place pop song that are made worse by the actual singing of the voice actors themselves. There's more singing than actual talking.
None of the characters are likeable, especially our lead protagonist who becomes all edgy after getting her heart broken in the first like 3 minutes of the movie; her entire personality shifted.Just because this is primarily targeted at children, it doesn't mean that they deserve this drivel. There are plenty of child targeted movies that are far better than this.
So, your child might like it, but for the love of god do not allow them to have it on repeat - You will go insane."
" Very high quality !
",0.0,0.9782,2021-02-12 00:00:00,10,"I loved this movie, so did my girls, I thought It was very powerful and rich animation, interesting and fun sound tracks and cool characters, overall it was attractive from beginning to the very end, though it was a simple and cliche love story."
" Really bad
",-0.5849,-0.3447,2021-02-08 00:00:00,2,"Just when you may think the film is over, it keeps dragging on and on and on.We're expected to believe that at the beginning of the film, the main character has experienced heartbreak and has become hard/tough. This is really bad writing, because moving on is actually very difficult and the way they portrayed it in less than a minute is very inaccurate. There honestly needs to be better character building. A lot of events happen in this movie and they don't really make sense, and are extremely cheesy or over-the-top, instead of sincere."
" Dont understand the low rating
",0.2057,0.9394,2020-12-30 00:00:00,10,"Given a 10 because 5.8 doesn't give it justice. Funny, feel good film. Great songs throughout and strong characters. Really well animated too. A nice family film."
" Adorable
",0.4939,0.9779,2020-10-11 00:00:00,10,At first I wasnt sure about this movie but once I watched half I fell in love!! Sends a strong message that it doesn't matter who you fall in love with as long as they love you the same!
" Hard Pass
",-0.1027,0.5271,2020-09-07 00:00:00,2,"I tried coming in with an open mind and I just can't. My daughter loves it, she's 14 and thinks it's cheesy and hilarious and perfect so there's that."
" The Music Got Me
",0.0,0.9935,2020-09-06 00:00:00,10,I really wasn't sure but the music got me interested. I watched this and was surprised by how much I liked it. It was fun and the premise that everyone deserves to be loved played out with a healthy dose of humor to keep it from being too sweet. The characters were all engaging. My favorite was Sunny! You must watch it to appreciate it.
" Astonishingly not great
",-0.5096,0.9681,2020-09-06 00:00:00,2,"I could go into GREAT detail about why I hat this movie, but put simply, missed opportunity.
I feel like the concept of a happy go lucky woman who wears her heart on her sleeve falling for an emotionally abused man who's corrupted soul makes him reject the idea of love seems like a clever idea, if it would just reinforce that."
" Rushed
",0.0,0.0,2020-08-28 00:00:00,4,There was too much singing and the plot felt rushed.
" dont reccomend watching
",0.0,-0.79,2020-08-26 00:00:00,1,"Just cringe with all the singing,its so bad and the story line just sucks."
" Disney for grown ups
",0.0,0.602,2020-08-16 00:00:00,10,"Wonderful film.
It seems to me that the poor reviews are from those who want every film to fit in a certain category and regard animation as a media for children.Great characters,great songs what is there not to like.Thank goodness for people who are prepared to break the Disney mold."
" Great job!
",0.6588,0.7096,2020-07-26 00:00:00,10,I rented this for my daughter when she was 10. Eventually buying it after she rented it so many times. Now all my kids sing along with the movie. Its cute and funny in just the right spots.
