title,title_sentiment_score,text_sentiment_score,date,rating,review
" The ending sucks
",-0.3612,0.6908,2021-04-06 00:00:00,6,"The movie was good until the ending and close to the ending,I liked the characters,the action scenes and the story until the end."
" For people that dont understand the ending
",0.0,0.8429,2021-04-04 00:00:00,10,"I love all of it and it's a masterpiece so I'm skipping the review and getting to the ending. For some reason people cant understand the ending. It deals with dimensia. The grandson, Kubo, is telling a story. While not true still tells a fantastic story, his grandfather cannot remember anything anymore. Dimensia. So the townsfolk remind him he is a kind man that helped everyone in the community. It's about remembering your past even though Kubo lost his because both his mother and father died while being raised by his memory stricken grandfather. It's about honoring your past. Just told through the eyes of an imaginative grandson."
" Insipid
",-0.4588,-0.9765,2021-03-18 00:00:00,5,"I've been catching up on Western animated movies recently and while they're all formulaic, I can accept that and salvage a few good moments. Maybe it's because I've finally had enough of them, but this time I am not overlooking the quality of the writing. Uninspired is one thing, but this is more than that. It follows the hero's journey without knowing how the hero's journey actually works.First, the uninspired part, which applies to the surface level creativeness. As other reviews have noted, the setting is Japanese but the tone and music are American. The music uses some eastern string instruments but the style is still generically western. Even beyond the lack of Japanese flavor, the jokes and interactions during the hero's journey part don't land.Apart from style the movie isn't creative with respect to substance, either, but that's fine. The hero's journey works because it is centered around the completion of the hero's arc. In order to have an arc in the first place, the hero must have a weakness that needs to be solved. This internal conflict is frequently used to parallel the overall theme. Kubo has no strongly established internal weakness, so there's no arc for him, which means there's no real hero's journey. Sure, the fight scenes and obstacles are there, but without the hero's growth it's all just there to fill screentime. Towards the end they propagate the theme of choosing an earthly existence filled with emotion and dealing with death by remembering the dead, as opposed to a cold celestial one. Except that Kubo never has much trouble dealing with death in the first place. His other facets of growth, like becoming more powerful and learning new skills, feel slapped on so they can check it off on the hero's journey list."
" If you thought Coraline was beautiful, wait until you see this...
",0.5994,0.9947,2021-02-22 00:00:00,7,"The wonder I had at the level of detail and imagination which Laika Stuidos have packed into this movie truly rivals the wonder I had when Pixar produced the first Toy Story. It is lush and colourful and every frame is a delight. So much so that it's hard to believe it's stop-motion. Surely there was some hybrid model used here? Right?Anyway, the lead character, Kubo, voiced by Art Parkinson is a traditional fairy tale hero; good and kind, but poor, and destined to be another chosen one. Kubo is blessed with magical origami skills - when he plays his guitar-like instrument, he can make the paper dance and bend into figures and shapes.
Of course, this power is a sign of his magical heritage, and that heritage is not all good. His evil aunts and grandfather are on the hunt for him, and he is soon forced into a quest seeking magical weapons that can aid him against them.The film, set in medieval Japan, makes an half-hearted attempt to explore this (to my Western eyes) foreign culture, but it's a meagre attempt at best, though it is great to see non-white characters peopling such a film (even if the voice cast doesn't follow through on that promise).The charm of this quest is the beauty of the landscape, the humour (mainly provided by Matthew McConaughey in goofy mode), and the joy of discovery - both of the details of Kubo's family history, and of his delight in what he can do.The story does begin to lag somewhat around the two thirds mark, and the climax, while getting top marks for being different, does feel a little anti-climactic. As things slow, you begin to wish the Ralph Fiennes voiced Moon King would reappear, or better yet, the Rooney Mara voiced Aunts of Kubo, who are the scariest parts of the film.Director Travis Knight, and his two screenwriters, Marc Haimes, and Chris Butler, (Based on a story by Haimes and Shannon Tindle) may not have hit a home run here, but they have done wonderful work, and ensured Pixar and Illumination know they have serious competition."
" Had it's moments but disappointing overall
",-0.6486,0.5719,2021-02-03 00:00:00,5,"Charming, beautiful animation but the story telling wasn't great... it was ok in the beginning but got boring throughout and I had to push myself to finish it."
" This is my favourite work of the studio's so far
",0.0,0.9869,2021-01-03 00:00:00,8,"Great, creative story.'Kubo and the Two Strings' is a fun film, I enjoyed it all. I love the animation style that Laika use, they also tend to get the vibe of their stories pretty bang on. This is my favourite work of the studio's so far, at least before I watch 'Missing Link'.The casting could've been more appropriate, though I'm a believer of anyone playing anyone when it comes to voice roles. Art Parkinson, Charlize Theron and Matthew McConaughey make for an undeniably strong trio. Parkinson and Theron do particularly good jobs, though McConaughey is my standout. Elsewhere, Ralph Fiennes and George Takei are, minorly, involved.The lovely story and top animation are the biggest takeaways from this. Recommended."
" Impressive and moving
",0.5106,0.5156,2020-12-28 00:00:00,8,"I watched this movie just yesterday and I will say, I am impressed. it was very deeply moving, and the very sad story (it's not a Hollywood style happy ending movie) is told in a very delicate, never harsh way. There is both sadness and happiness in this movie, sometimes mixed together.Having watched it with a child, I will say. Some children will be turned off by the sad story: for this, it is maybe best to watch with 10 years old or so. In any case it is a movie even adults should watch.From the technical point of view, it is almost incredible to think this movie was made mostly with stop motion (aided by computer, of course, but still). Some scenes are breath taking.On a cultural note, for all it's Japanese cultural references and ""color"" this is a movie which could not but be western in the way it expresses the story and the feelings in it. In a way it is a beautiful mix. In a way I could understand some people in Japan maybe not appreciating it too much."
" While My Guitar Gently Weeps
",0.1531,0.8779,2020-12-28 00:00:00,8,"A touching story about family with great voice performances by Charlize Theron and Mathew McConaughey, top notch animation, fantastic music, and While My Guitar Gently Weeps."
" A bit slow
",0.0,0.1558,2020-12-10 00:00:00,7,"It takes time to built the storyline. starts kinda as a comedy but the last 20 minutes or so, are kinda dramatic. if u wait, the ending will make u cry...
7/10"
" Stupid and underwhelming
",-0.5267,-0.3513,2020-12-01 00:00:00,3,"I've never been the hugest fan of these sorta films. Paranorm was great, Boxtrolls was eh, and Coraline was a hellish nightmare, but nothing quite takes the garbage-filles cake like Kubo. I was actually looking forward to this a whole lot, but it sucked. The story was so predictable and boring and there are no twists. It was actually borderline cringe-stupid The only reason why i rate it a 3 and not lower is cos the animation is sorta cool."
