title,title_sentiment_score,text_sentiment_score,date,rating,review
" Oops 😬
",0.0,-0.893,2021-04-02 00:00:00,4,"The first 2 films are good and full of promise, the 3rd one was a major disappointment and this one just takes the biscuit! I was expecting an epic battle for the capitol and all I got was a bomb attack on kids! Shame on you 😕"
" Dull ending to what was a promising series
",0.0,-0.0772,2021-04-02 00:00:00,4,"I found the movie rather boring, the plot rushed and the few insightful bits weren't sought after enough. Lawrence did alright and the ending is the only somewhat okish parts."
" Unwatchable
",0.0,0.3612,2021-03-28 00:00:00,1,All the money and big names you could ever want squandered on a storyline that teetered out in the first or second movie.Everything about this movie is wrong.You can visibly see the actors - all of them - struggle to maintain enthusiasm for each scene. So if they didn't want to be making it - why would you want to be watching it?
" Mockingjay - Part 2 leaves the bunker that housed its characters in the first part to transform the Capital into the public arena that enshrined the franchise
",0.0,0.999,2021-03-07 00:00:00,7,"Mockingjay - Part 2 then leaves the bunker that housed its characters in the first part to transform the Capital into the public arena that enshrined the franchise. The director Francis Lawrence uses this structure in a guerrilla context, yielding good and punctual action scenes. The director also knows how to take advantage of city spaces (on the surface and below it), coordinating depth and time (pause and speed) to create sequences of calculated tension. Francis Lawrence, again, was not carried away by ""the more the better"". Instead of a festival of uninterrupted action sequences, one larger than the other, the director introduces us to a lengthy rhythm that does, but does not depend on it for the fluency of the narrative. The film takes place in rubble and underground, as if it were a phase of an average infinite racing game. If we stop to think, there is only one frantic moment in Hollywood style in the whole work, when the beasties attack the group in the capital's sewers, a sequence directed with a clinical eye by Lawrence who, with the editing work of Alan Edward Bell and Mark Yoshikawa, is shaky, fast, violent, exciting, but without losing sight of the characters and the humanity of his actions.In addition, the director again makes good use of the dark photography and the gray unfiltered color palette of Jo Willems (who has worked on the series since Catching Fire) that he introduced more strongly in the previous film continues and is accentuated in Part 2 part, marking the worsening of the war and conditions in the various districts. With that, the fatalistic feeling permeates the whole tape, making evident the anti-warming message of Collins' narrative. It is worth commenting here on the composition of the execution sequence, as the director seems to work in partnership with Willems in order to emulate Leni Riefensthal in The Triumph of the Will, with all the heavy meaning and perfectly within the concept of the film it carries. There is the monumentality of open-plan photography, the tall, solid and geometric structures populating the surroundings, the perfect framing of the action, divided into mill metrically symmetrical quadrants and, of course, the uniforms of all the officers present. This is, without a doubt, a time to be contemplated.Another element that helps in the focus that this film has is the soundtrack by James Newton Howard who, despite not bringing any particularly significant composition, has his work precisely synchronized in the film, avoiding the maneuver of the viewer's feelings. Quite the contrary, Francis Lawrence uses instrumental music to amplify the tension at the right times, without over-wiring what lies ahead. Visual effects also evolved at a rapid pace, something natural for a film franchise that started without much certainty of its success and that gradually gained budgets increasingly larger (The two parts of Mockingjay cost about US $ 160 million). Comparing the creatures in computer graphics in this last part with those we see at the end of the original film is more than enough to show the evolution in this regard. But the same goes for the digital construction of the Capital, which is one of the protagonists of this final war, gaining notorious veracity and the feeling of ""lived space"" that was so lacking in its previous versions.The allegory of the plot is unfortunately current, with the theater of war set up by Snow and Coin being a media show, adequately described by Finnick as a new edition of The Hunger Games. Even the death of some soldiers is announced by the capital with the same fanfare as the Games. Between the plot of political manipulation and the televised battle, the film comes up against its love triangle. Protocol from the beginning, the relationship between Katniss, Peeta and Gale ended up underutilizing the development of the male characters (in addition to taking time from other interesting assistants), culminating in an embarrassing scene in which the suitors discuss the relationship while their loved one pretends to sleep. Katniss, however, has always seemed as uninterested in the novel as in political matters. This disenchantment governs her final attitudes, in a martyrdom that does not materialize, but makes clear the weight carried by the character.
Something that can be frustrating for many viewers is the fact that we see very little of the battle between the Capital and the District Alliance. Although Squadron 451 (a little subtle but very effective reference to the book ""Fahrenheit 451"", by Ray Bradbury) is made up of elite warriors, the group is only there for propaganda purposes, serving as familiar faces to be seen in an area of war. And that makes sense, because ""The Hunger Games"" was never about war, but about Katniss. The young woman never asked to become a symbol of resistance or a martyr to the revolution. Her involvement in Panem's policy started in a personal way, with her attempt to save her sister's life, Prim (Willow Shields), and it is great that her intentions remain so, especially in her final act.In this last part, the director was understandably complex and he preferred to focus on the nerve points: Katniss-Peeta relationship and the game of disinformation. It worked, but it leaves the feeling of some wasted opportunities, such as the characters of Julianne Moore and Donald Sutherland, two great actors clearly enjoying themselves in their respective roles, but without having enough space to chew on the sets with their seniority. The late Philip Seymour Hoffman, who died during the filming, is also present, in his latest role, with some digital inserts of his effigy, but which do not hinder the unfolding of the story or the immersion of the audience. He would play an important role in ending the saga, but that part had not been recorded and was added to Alma Coin's lines.Jennifer Lawrence remains precise in her complicated role as a reluctant heroine, maneuvered by everything and everyone, but she finds Josh Hutcherson, finally showing what he came for, his direct competition. The actor manages to pass on to the viewer the anguish of Peeta Mellark, controlled by President Snow with the intention of murdering Katniss, the character shows the film in a suffocating internal conflict that is transmitted brilliantly by his interpreter. The supporting cast is one of the best that Hollywood has ever put together in a production. We have the always great Woody Harrelson, a sensational performance by the master Donald Sutherland and the great Sam Claflin, Elizabeth Banks and Jena Malone.The potential of the important feminist discourse that the work carries is again evident, whether from Katniss herself - who in her utopian universe is driven and encouraged by the men around her, and not diminished - or by the prominent and powerful figures of President Alma Coin, Lieutenant Jackson, Commander Lyme (Gwendoline Christie, unfortunately underutilized) and Commander Paylor, the latter who finally has a small but important role in closing the story. Meanwhile, men, be it the love interests of Katniss, Peeta and Gale, their allies, Haymitch, Finnick and Boggs, and even President Snow, are portrayed without much depth and personality, serving merely as means and ends in the pursuit of protagonist for justice and equality against the inhumane autocracy where he lives.However, as in Part One, albeit on a smaller scale, it is possible to feel the weight of dividing the third book into two features of more than two hours each. Although Katniss and his team are thrown into the fire very quickly and the action unfolds efficiently to an explosive climax, the fact is that the various false endings, which stretch the plot too much, break the pace of the story told. The need to please the legion of loyal readers and the desire to make a tape clearly more epic, took away some of the freedom of the screenwriters, who literally transposed every moment after the effective closing of the narrative as if it were a literary work. However, justice is done: the production manages to be efficient enough until it shows fatigue which, in turn, with goodwill, it is perfectly possible to gloss over as a necessary evil and leave it at that.Every journey has its end, The Hunger Games has opened the way for other adaptations of other books and his latest film was worthy to close his cycle. Admirers of the literary work need not be concerned about the film's fidelity to the books. Despite being based on a children's book, 'Part 2' is a dark and violent film. Even if it takes place in a dystopian future, it is impressive how the story traces modern and current political criticism. The Hunger Games is one of the best and most serious juvenile sagas that leaves in addition to an interesting legacy the opening for possible future chapters (Why not explore the war that divided Panem between the Capital and other districts?). In any case, Katniss Everdeen receives an end worthy of her dark history, mature and scarred as her own. Her heroism may have been accidental, but her aim and heart have always been essentially accurate and admirable."
" Really?
",0.0,0.9555,2021-03-01 00:00:00,3,"Why would anyone idolize a cry baby that drools and can't seem to keep herself straight long enough to actually do anything but get every single person killed around her?Let's see... can't follow orders, goes rogue, lies to fulfill her own destiny at the cost of the lives of others, shoots CG arrows that mysteriously replenish in her quiver, wears her hair down only when she needs to be seen but certainly not when she's wearing a cloak to blend in, zero ability to fight, no emotional strength, no physical strength, can't delegate, survives 2 rounds of hunger games fights but can't do jack quibbit in this miserable 2 hour film... and this is who Panem supposedly idolizes?Interesting. Very interesting.
Gave it a 3 because it was visually great aside from the jack rabbit that holds the camera the entire time. I wish the internet had a filter for the other votes made by bots or the meek. Wish I had not bought the collection on Apple TV otherwise I would have not forced myself to sit through all 5 films. Glad I only spent 20 bucks, wish it were less..."
" To bad
",-0.5423,0.6124,2021-02-18 00:00:00,3,Would have loved it to be better. But it is not. Storyline with holes in it bigger then a division 5 football team defence.
" The best in the franchise
",0.6369,0.6127,2021-02-12 00:00:00,9,"This movie made me cry. The acting was so amazing and sad that I cried along with them. Josh Hutcherson's performance was fantastic, absolutely fantastic, as was Jennifer Lawrence's too. As it is in all of these films, the music is astonishing, it comes on when it should, always at the right time. This film was phenomenal. That is really all I have to see"
" Hunger games with Jennifer lawerance
",-0.25,0.9042,2021-01-18 00:00:00,10,"This movie was first seen on freeform rv
It's an excellent movie I recommend it very highly
To rent buy or purchase it got a ten star rating
And has been promoted from the Ellen tv show
Supported by Jimmy fallon"
" Amazing Trilogy Work
",0.5859,0.9396,2021-01-16 00:00:00,10,"Plot: very good job trying to stick to the book with their best effort. But it lacks somewhere.Actress and Actors & Acting: nothing to tell. Everyone did a great job, really, in particular every main characters.Soundtrack: very high quality.Visual Effects: perfect.Conclusions: it still lacks from some of the things that there are in the book, but I think that they made a very good job, in particular the main characters."
" Surprised by the developments
",0.2263,0.5595,2021-01-12 00:00:00,6,"After the Part I, this film has improved over the course of the history, mainly thanks to a satisfying ending.
For the rest, confusing scenes especially in the fights.
The last two episodes of the saga are not comparable with the first two.
I have never agreed not to give an ending to the other movies, as if they were episodes that come out from week to week, so 6 for the final parts and Jennifer!"
