title,title_sentiment_score,text_sentiment_score,date,rating,review
" Don't watxch for the XCGI
",0.0,0.5257,2021-04-11 00:00:00,8,"If you watch movies for plot, pacing, dialog and story? You'll like this movie. If you focus on the quality of the CGI? You won't. It's really pretty much that simple.A Tarzan story that starts from a different place than the typical Tarzan story, with Lord Greystoke having lived in London for a number of years after leaving Africa, the story is interesting and engaging. Jane doesn't need to be won, she's his wife. Tarzan returns to Africa (specifically to the Congo) for reasons to do with possible evil on the part of King Leopold.And such evil exists. So, the adventure begins.It feels like a Burroughs story. As it should."
" Finally a perfect adaption.
",0.5719,0.765,2021-03-07 00:00:00,10,"I seen this upon release back in the day. Since then I've been reluctant to do a review. I'll finally make a review after I finished rewatching the animation version.This adaption is about conquering and discovery by the Romans.It has a different take from the animation or books.Tarzan in this version travels from Roman civilization to the jungle where he is respected in both places.
When Tarzan returns to the jungle its being invaded by poachers, scvangers and the so called slave trade is in progress.The movie has a full on grey feel when you watch it.
Sam jack character is really just a butler at best.The villians were evil as history says.Tarzan did a good job carrying the production.Overall a fantastic movie for that fantatic fans.What can be learned? Beware of those in ivory.Verdict: Enjoy it. For what it tried to be."
" Quite enjoyable
",0.4927,0.9981,2021-02-15 00:00:00,6,"Despite some minor flaws, I still found the film to be quite enjoyable. One of the flaws has to do with the editing; in one scene, within the space of a few seconds, Tarzan moved from beautiful sunshine to a dark rainy jungle. And Tarzan is swinging on a vine in between trees and over a pretty long distance. It was a little ridiculous how he managed to do that without switching to another vine. Another minor thing was all the CGI animals. They mostly looked good and some of the sequences with the humans and animals together were brilliant; but the CGI could have been better.There were many positives. The slavery element to the story provided an interesting (albeit controversial) perspective. The costume design, hair and make-up people, and all those involved in that area of the movie did a tremendous job. It was a beautifully made film. In particular I loved the look of tribe led by Chief Mbonga. They kind of resemble the Skull Island's native tribe in most 'King Kong' movies.The acting was good from the main cast. Skarsgard gets into shape for this part and despite some criticism I thought he played the part really well. Maggie Robbie was also good, in particular during her scenes with Waltz, who was himself excellent. He has a great way of playing these well spoken, well mannered, nuanced characters. Obviously Jackson is always good and without doubt he provided the best comedic line in the film.All in all, a fresh twist on the Tarzan story. The acting was really good. The CGI looked good. At the end of the day it's a fantasy adventure movie. You see these types of films for the same reason you see superhero films - the action and excitement. And it ticked most of the boxes."
" Fun
",0.5106,0.8651,2021-02-10 00:00:00,9,This Was A Fun Movie I Really Did Enjoy It The Action Was Also Good
" Regular
",0.0,0.09,2021-02-03 00:00:00,5,"The hero's trajectory, this is Tarzan's new film, it contains all those basic clichés, the visual and animal effects are just good (nothing compared to Planet of the Apes, for example), the performances are weak, except for Samuel Jackson, the film's photography is beautiful and surprising at times, despite the excess of Cromaqui, and the scenes with out-of-context audio from flashbacks there Spike Jonzen, and the soundtrack is imperceptible, I didn't read the books, but I saw the animation from the 90s, which is much better, the film fails to explore the conflict between the Tarzan between the world that was wild and the civilized, that many times wild animals love unconditionally and without judgments because they are irrational, this is brushed up in the film but very little explored, here is my condolences to the script that disappoint. Tarzan is a movie to see with the family on any Sunday, that's all."
" Everything but certainly not a Tarzan movie... disappointing
",0.7609,-0.8511,2021-01-12 00:00:00,4,"I went to the cinema excited, standing on tiptoes to finally see a live action Tarzan movie. And I must say I was thoroughly disappointed. Throughout the movie the writer can't decide whether Tarzan is Batman, Superman, simply Tarzan or a helpless baby.
Not to mention the movie's extremely pathetic portrayal of apes who made the animated films such a classic!"
" Closer to the book version of Tarzan than the Weissmuller embarrassment.
",-0.4404,0.9549,2021-01-06 00:00:00,8,"As a kid I had seen a few Tarzan movies on TV, and then when I was 11 my aunt gave me her five copies of the original Tarzan novels, Which I still have. After reading the first one, Tarzan of the apes, I could no longer watch a Johnny Weissmuller movie, they took an amazing character and turned him into just sort of special needs. Tarzan of the books never talked like JW, he spoke several languages, he never lived in a treehouse, there was no chimp name cheetah nor a kid name boy. That said, this version of the movie is very close to the Tarzan of the books. Greystoke, the legend of Tarzan is a great version of the 1st part of the story. In the books he grows up in the African jungle with apes, he becomes lord of his tribe of apes, meets Jane Porter, helps her get rescued, but he stays in Africa never having talked to her, then he saves Frenchman named Paul d'Arnot and the frenchman teaches him English and French, Tarzan helps him get out of the jungle and they make their way back to England. Tarzan, John Clayton, assumes his role as lord Greystoke. He then traveled to America to find Jane. After a few years he returns to Africa, eventually builds a ranch and him and Jane marry, have a son named Jack, and they live in Africa most of the rest of their lives, With the exception of the many adventures that take Tarzan away from his ranch. This story is similar to many of the books, with the exception of Tarzan never lets a bad guy live. And he usually has his fathers knife with him which he uses quite often. If you're a fan of the books you will love this movie, if you're a fan of that dreadful Disney cartoon or the Johnny Weissmuller movies then of course you will hate this one."
" Best Ever
",0.6369,-0.2732,2020-11-02 00:00:00,10,I never take to heart what the critics say. They are the worst reviews of movies I've ever read. The legend of Tarzan happens to be one of the best ever made.
" predictable plot, no surprises
",-0.0772,-0.1013,2020-10-15 00:00:00,3,"OK, so Tarzan certainly looks cut and muscular. But the plot itself is very predictable - every time our hero is in trouble he gets out of it, and you just know the bad guys will not get away with whatever they want. Only, the solution involves a ludicrous battle involving numerous CGI animals under our hero's influence. I laughed out loud at these scenes."
" SIMPLIFY
",0.0,-0.4758,2020-09-15 00:00:00,5,"In this continuation of the story Tarzan is lured back to the Congo as a trick, so that he may die for the murder of A chiefs son. The deal. You get us Tarzan, & we'll help you enslave the entire population of the Belgian Congo.
It's a good story.
Unfortunately, the action on screen is ""unreal"", it's almost like a cartoon. When they go to swing onto the moving train? Tarzan mentions gravity. What about every other physical property known on earth. How long was that vine? & I'm pretty sure that you dont survive fights with a full grown mountain gorilla."
