title,title_sentiment_score,text_sentiment_score,date,rating,review
" Big Shame
",-0.4767,-0.5548,2021-04-03 00:00:00,1,Truly awful. I had low hopes but was still underwhelmed. Annoyed I stuck with it. There's no redeeming features whatsoever and there's so many better options for low budget entertainment. I can't believe Samuel L jackson was in this let alone allowed it to see the light of day.
" Great family movie for older kids
",0.6249,0.9152,2021-04-03 00:00:00,8,"I watched this myself and thoroughly enjoyed it but I will watch again with my 12 and 9 year old. Film has action, humour and heart. And that beautiful scenery. 😍Definitely on to watch."
" It's a unique thriller
",0.1027,0.9153,2021-03-13 00:00:00,7,"The movie starts off great, and is very watchable. Howecer half way through, the movie takes a dive from a decent thriller to a cheesy comedy. (But it's a good cheese).Very watchable and has a good unique story."
" Very cute... Ownt...
",0.0,0.9904,2021-02-19 00:00:00,9,"I love movies with hunters, usually cheer for the hunt, what a delightful film, President Samuel L. Jackson (like amooo), and that little boy, won my heart ... A good plot, very attractive, holds us, the boy moves us, a true guardian, and not a killer hunter, the double is acting is very cute, passionate, the kid's duty to protect the president, very cute... Ownt... Very funny, don't wait for that comical, unpretentious air..."
" Plot Good, Physics Poor
",-0.0516,0.3499,2021-01-26 00:00:00,8,"The father/son story, and the boy/President interaction is very good. Overall it is an entertaining movie. But if you understand the laws of gravity, physics, and the effects those have on the human body you will catch yourself shaking your head in a number of scenes."
" An unapologetically silly love letter to 90s action films filtered through the lens of a family adventure.
",0.765,0.9883,2020-12-25 00:00:00,7,"Oskari (Onni Tommila) is sent off to the woods to hunt as a right of passage to prove his manhood on his birthday. Unbeknownst to Oskari, William Alan Moore (Samuel L. Jackson), President of the United States, has abandoned Air Force One after it is taken down by terrorists. When the two meet up, the two teamup to try and survive the wilderness and takedown the terrorists.Directed by Jalmari Helander who directed Rare Exports: A Christmas Tale, crafts a film just as wonderful as his previous effort, and while it doesn't have the sharp edges and acerbic bite of his previous effort, he more than makes up for it by playing up the silliness of the situation while keeping it just grounded enough from jumping into outright parody. What Helander has done is take a traditonal wilderness coming of age story with hints of Jack London, and merged it with elements of 90s action blockbusters like Cliffhanger or Air Force One, and for the most part it succeeds.The movie despite being $10 million in budget, never feels cheap or slapdashed. The movie is well paced and acted with really good performances across the board from everyone involved. Onni Tommila does a really good job in the lead and makes us care about Oskari's journey in overcoming becoming an unlikely hero who's now tasked with saving the President of the United States. Jackson is equally good playing against type as rather meek and out of his element man completely unprepared for the harsh wilderness or bloodthirsty terrorist hunting him. Despite an outlandish premise of a child saving the President, the movie never feels overly self aware or silly. There are some very nice moments between Tommila and Jackson and they have a natural chemistry that comes through in their scenes.Some of the action feels a little restrained and two henchman are pointlessly shot fairly on which makes the threat feel slightly less urgent, but because this is a family film and it's trying to play itself at a level that can be enjoyed by everyone even children, this is a point where I feel I can give it a pass especially in comparison to films that tried and failed this approach such as Stormbreaker or Catch that Kid.Big Game is a movie that knows it's silly, but doesn't let that deter it from putting in effort. It's a very fun movie that hits all the right notes and exudes a love for both coming of age adventure stories as well as 90s action blockbusters of yesteryear. While it may be obviously holding back at a few key moments, it never feels toothless and is a movie that's just intense enough to be comfortably viewed by the whole family."
" A Young Spielberg is brewing in this Director!
",0.0,0.9416,2020-12-13 00:00:00,8,"I discovered Rare Exports a few years ago, and it became my favorite Christmas movie! Its a coming of age moment, blended with old mythology. Not horror to me...for me it carries that Spielberg vibe of young protagonist knowing the situation early on with adult disbelief. So often these come off as so bad and cheesey, but the director pulls it off with Rare Exports, and again with Big Game. I really want to commend Samual L. Jackson on taking on his role and trying to expose this writer/director. I recommend watching Big Game after Rare Exports because the main characters are the same, about 5 years apart. You will love it more if you watch Rare Exports first."
" Hollywood Has Fallen
",-0.3612,0.0728,2020-10-15 00:00:00,2,"I paid 25p in a charity shop for the DVD of this film, and it really wasn't worth the money. I can only take solace in the hope that my suffering alleviated someone else's. However, as ridiculous as this plot may be, it's nowhere near as ludicrous as the actual current presidency of the United States. This film might be a stinker but it's 'Trumped' by real life."
" Entertaining
",0.4404,0.9536,2020-09-12 00:00:00,10,"Good movie, brillant action movie. Very entertaining. Nice moment with my family. Samuel L. Jackson his hilarious thank you to play in the movie like this."
" It's a kid's movie that makes you feel like a kid again.
",0.3612,0.9629,2020-08-30 00:00:00,9,"Great movie with some clichés along the way and cracking panoramic views.
The action is fabulous and the stunts impressive. It's a kid's movie that makes you feel like a kid again. Most enjoyable.
Suspend disbelief for the adventure. And your enjoyment."
" Bavaria Is Finland ??
",0.0,0.5544,2020-08-29 00:00:00,3,"There were TWENTY FIVE producers who financed this flick ! And, as usual, the ""bad guy"" is a British actor even though he is with the presidential security team !!But since kids don't pick up plot holes like adults do, they will not notice the gaping holes and many mistakes in this film ...like the plane lights of a submerged plane are still working, and swimming in a cold ""Finnish"" lake is not recommended !Hi, hum ... I hope the producers got their money back !"
" it's a good old not too serious action flick
",0.4805,0.6858,2020-08-23 00:00:00,9,"Don't take it too serious, I'm sure the Navy Seals would be a little more on point than they were. But it's action packed and Samuel L Jackson adds his own humour which does make it watchable than a C-list star."
" My opinion
",0.0,0.9926,2020-05-21 00:00:00,7,"Visually it's impressive, the cast are brilliant, the plot is good fun and the soundtrack is impressive. The first few minutes I didn't know what to expect but the pace moves it along nicely. My biggest issue is the age rating. This would have been alot better received had it been a family film and really the only thing that makes it inappropriate for kids is the swearing. The film is about a boy hunter seeking to become a man and carry a tradition but comes across the president and helps save him. Would have made a great PG action adventure movie but I think because of the age restriction aiming for older viewers with a child lead actor is probably what held the movie back. It is a nice watch tho. I'm glad I've seen it as its definitely a good movie. I give it a big thumbs up."
" Continuity error 1:18:16
",-0.4019,0.8975,2020-05-14 00:00:00,8,Father and son spit and shake right hands but briefly in timestamp 1:18:17 they amazingly swap two left hands then straight back again... These Finnish people are very good at slight of hand!
" BIG LAME
",-0.4215,-0.9059,2020-05-10 00:00:00,3,"OMG. Terrible script, ridiculous plot, technically awful, appalling acting, some of the most awkward lines in the history of movies.Give this a wide berth!"
" ""My forest, my rules...""
",0.0,0.9865,2020-05-07 00:00:00,5,"Now I rather enjoyed this... OK, so it isn't going to trouble an Academy jury anywhere, but it is a good end-to-end action movie with bows and arrows - but not a sign of Robin Hood! Samuel L. Jackson is the President onboard Air Force One when it is attacked by a missile. He is bundled into his escape pod and lands in the midst of what turns out to be a Finnish forest. Meantime a local young lad is being trained by his father to be a hunter and so when he stumbles upon, and releases the President, they - together - have to try and find their way to a phone. Of course it isn't that simple - the President is being hunted; rather preposterously - like big game - by a Russian millionaire lunatic who is aided by a disaffected Secret Service agent who set the whole thing up in the first place (not a spoiler - we discover that very, very early on). The two now have to stay one step ahead of their pursuers with the help of the aforementioned bow and arrow, a shoe and an old fridge complete with some frozen venison. It's daft, with some really naff CGI - but Onni Tommila (""Oskari"") the young lad and SLJ gel well together, the latter is on good form with some quite witty one-liners and joyous facial expressions as I think even he realises just how silly this all is... Great fun, though - and I'd recommend if you've got ninety minutes to spare, and no particularly high expectations..."
" The Finland is the country of high mountains
",0.0,0.25,2020-05-06 00:00:00,4,"Well...
When the screenwriter set the action in some particular country, IMHO, he has to get general ideas about the location he is describing...
Isn't he/she?
I understand that 95% of the American public has no idea where Finland is and how does it look... but...
Probably, the rest 5% knows that Finish landscape is pretty flat and mostly consists of lakes and swamps"
" Very Bad!
",-0.623,-0.4376,2020-05-02 00:00:00,2,The film ist absolutely boring. Very unrealistic and nothing for people older than 16 Years!
" Don't worry, don't overthink, just enjoy
",-0.0572,0.9213,2020-04-21 00:00:00,7,"My wife and me simply enjoyed this peculiar take on an action movie/comedy - seen on TV in our case. I guess you need a sense for the slightly odd humour in this flick, which is neither really serious nor a parody in the usual sense. Unlikely elements abound, they're not mistakes but a gleeful play with the tropes of action and adventure movies. A few more serious undertones in a father-son relationship allow for some grounding of the boy's character. Conscious, enjoyable camp, well worth the 90 minutes duration, not overstaying its welcome."
" Big Fun
",0.5106,0.9493,2020-04-18 00:00:00,10,"Over the top action adventure comedy with Samuel L. Jackson sans profanity - which is pretty funny in and of itself.Air Force One is shot down over Finland, and the POTUS rescued by a 13 year old Finnish boy. That's the first 5 minutes - watch the rest and enjoy."
" Disappointing but made with a lot of heart
",-0.2732,0.9706,2020-03-28 00:00:00,4,"A young boy named Oskari (Onni Tommila) wants to follow in his fathers footsteps and become a skilled hunter. When camping alone in the woods as a coming of age ritual to find prey, Air Force One crash lands in the area and he finds himself on a rescue mission for the president of the United States (none other than Samuel L Jackson!) It goes without saying that Jackson playing the president is worth the ticket price alone and that is pretty genius casting! Tommila is also quite good as Oskari and the chemistry between the two main characters is pretty fun. Unfortunately the film does mainly reside in the action genre rather than comedy which would have been more engaging. There are undoubtedly impressive explosions but nothing to make it particularly stand out and the only thing that makes it shine is Jackson and Tommila together. Overall, it's not nearly as bombastically silly as the plot sounds which it could've done with but is clearly made with a lot of love for what it is"
" It's okay but not exactly stellar.
",0.1154,0.4019,2020-03-24 00:00:00,5,"For an effort by a country with a near non-existent film industry it's a genuinely well intentioned effort and impressive for the budget.
It just falls short in so many ways that not even SLJ can overcome the problems."
" Cliffhanger without the snow
",0.0,0.6112,2020-01-23 00:00:00,2,"What do you get if you merge Cliffhanger without the snow, Escape from New York without New York and add a Hans Gruber look-a-like? You get 110 minutes of dross.A truly awful movie. Only saving grace is the kid (who earnt the two stars on his own) Even Samuel L Jackson phoned it in on this one. Comic-book baddies and a plot line that was obvious within the first 15 minutes. A few nice shot of Finland but if that's what you want there must be a good travel doc out there somewhere. Avoid it."
" Great small budget action movie
",0.6249,0.9014,2019-09-27 00:00:00,10,So ok the Critics and a few public reviewers hate this and yes its a pretty unbelievable BUT its great entertainment and meant to be more tongue in cheek than serious. Thats the whole point so it shouldn't be scored as a poor film. Enjoy it for what it is. An endearing action movie
" To all those that were harsh on this movie...
",-0.4404,0.7783,2019-07-20 00:00:00,7,People.. It's a movie. A very decent movie. Not a documentary.. It's... A... Movie. No.. It's not going to get an Oscar nod. You people must be great at parties.
" Cheesy rites of passage adventure lacks too much credibility
",0.3182,0.93,2019-07-06 00:00:00,4,"An American action comedy; A story about a U.S. president who relies on a 13-year-old forest hunter to get him out alive after Air Force One is shot down over remote Finland. This comic-book, cheesy style adventure aimed at kids is deliriously crackpot and far-fetched, with a goofy plot, though in its eagerness to entertain has many pleasing moments which lay mostly with the scene-stealing Onni Tommila."
" Great Light Entertainment
",0.7845,0.9911,2019-07-04 00:00:00,7,"I thoroughly enjoyed this flick. Take off your pseudo-critics hat and just sit back relax and enjoy. The movie is fun, the acting is good, and the movie has a great ending. Samuel Jackson plays a much different character than we're used to a really and it was refreshing and surprising at the same time. The young boy is very likeable and also delivers a good performance. I recommend this to viewers who want to be entertained by a movie, without agendas, vulgarity or politics. Good clean action comedy."
" Great Fun
",0.8126,0.9702,2019-07-04 00:00:00,7,"I love this film. Panned by the critics for some reason it has great pace, a great performance from Samuel Jackson and from Onni Tommila. The story is bonkers but that's what makes it such fun. One one level though it can be seen as a great take of the gang ho USA and their naïveté concerning world affairs. On another just enjoy the action."
" So bad it's, well, just bad
",-0.7369,0.4754,2019-06-29 00:00:00,3,"So glad that i only had to sit through this at home, if I'd had to actually part with money i may have had serious words with whichever cinema was silly enough to screen this.
A decent cast and what could possibly have been a decent storyline has been turned into a totally forgettable movie. I have just finished watching it and the only thing that i can think of is why Jim Broadbent, just why?"
" Failing at many levels
",-0.5106,-0.9281,2019-06-26 00:00:00,3,"What happened to Samuel L. Jackson? Why does he have to take a role in such a poor movie?
The story itself is pretty absurd, but it offered the potential for a fine B-Movie. It fails, because it totally lacks any irony, the cast doesn't suit the roles and the movie obviously needed to be family friendly.
I can imagine the story as a low budget movie with a whiny US-President and a tough Finnish hunter's boy, struggling for survival in the vast Finnish wilderness. With a suitable cast and the appropriate amount of violence and irony, this could have worked."
