title,title_sentiment_score,text_sentiment_score,date,rating,review
" A pretty decent flick
",0.4939,0.128,2021-04-04 00:00:00,9,"I give this film 'weighted' high marks. Im an avid horror fan and could predict where this movie was headed from the moment it started. But I enjoyed the premise, a somewhat unique take on grief and psychotherapy, the mix of great exposition and memory scenes, and that the movie held out on the pay off as long as was possible, it could have straight up ended like a drama or a horror right up to that point. To people complaining about the lack of cell phone coverage: you do know that signal jammers exist right?"
" A Solid, Self-Contained Thriller
",0.25,0.9964,2021-03-31 00:00:00,6,"The Invitation is directed by Karyn Kusama and is written by Phil Hay and Matt Manfredi. The film stars Logan Marshall-Green, Michael Huisman and Tammy Blanchard, among others. The Invitation tells the story of a couple attending a dinner party of the boyfriend's ex, however, things are not as they seem and old drama creates new turmoil. Released throughout 2015, The Invitation did not get a mainstream limited release until 2016 where it was met with fairly positive reception from audiences and critics alike.I knew nothing about The Invitation going into it, so with my expectations relatively low, I was pleasantly surprised by the end result. The Invitation is a slow-burn thriller that knows how to build suspense and question the protagonist's intuition. The entire film, apart from the opening five minutes, is spent at one location with much of the film almost feeling like a theatre play and that's not a bad thing as I have enjoyed films that are relatively contained. The Invitation is a very character-driven film and the filmmakers did a good job at casting Logan Marshall-Green as Will. Although Will isn't exactly the most exciting character, it's clear that he's gone through some sort of trauma which builds intrigue with the viewer, on top of being a good straight man as given the circumstances in the movie Will represents the thoughts of the audience and rarely makes a dumb a decision.The Invitation is a well-written story, even despite its predictable moments and kind of knowing where the climax was going to lead to, I was still entertained by the film however it is not without its faults. The execution at times almost felt amateurish, particularly during flashback scenes or when Will was in his head about certain things; I felt that those moments were not edited the best and almost felt heavy-handed with its themes. It's not a dealbreaker by any means, but it certainly distracted me at times while watching the movie.In summation, The Invitation is a decent enough thriller that is certain to entertain those who check it out. While the story is well written, it's not going to be something that will blow anyone away with many moments that will feel a tad predictable; the end concept and how the movie gets to that point will surely be enjoyable. Clocking in at an hour and forty minutes, The Invitation is a rather slow film that takes time setting itself up and while the run time might be felt in certain spots there is always something going on that will intrigue the viewer. While I did enjoy The Invitation, for the most part, I also recognize it wasn't something that I truly loved, despite that, I can still recommend this film to most people. If the idea of a thriller that takes it times to set up and has moments that will make you question the reasoning of the protagonist as well as yourself, sounds good to you then definitely check this film out. For everything that The Invitation did well, there were also aspects that held this film back from being something truly great and for that reason, I am giving The Invitation a 6/10."
" Would rate 0 if I could
",0.0,0.6478,2021-03-28 00:00:00,1,"If you would like to watch people talking about nonsense for two hours straight, go ahead
Otherwise, staring at a wall will be more fun than watching this movie."
" Suspense without suspense
",0.0,-0.6915,2021-03-23 00:00:00,5,"Fifteen minutes in and you know what every minute of this movie will contain. Eden wastes no time telling Will that she is finally at peace because she knows her ""pain will be over soon,"" a very common euphemism for death. It quickly becomes frustrating how no one other than Will understands that the cult glorifies and encourages suicide as a way to end one's suffering.That being said, I was very impressed with the way the cinematography was utilized to show a PTSD/dissociative response through the eyes of Will. The use of blurring effects, muted sounds, distortion of reality, and intermittent flashbacks during everyday tasks was effective in storytelling as much as it was accurate to how one would experience such trauma responses."
" How to totally waste a couple of hours
",-0.4754,-0.8307,2021-03-19 00:00:00,1,"There is almost no back story. For most of them, none! Who are they? From what little we ate told, a bunch of old friends are invited to a party and it goes to hell. We don't know why. We don't know who they are or their motivation. When most all of them die, we don't care because we don't know them and, therefore, don't give a damn.What is this about? Not the first clue.Nothing to spoil because nothing happens that could not have happened while the opening credits were rolling. We learn nothing more during the movie. It could have lasted 2 minutes and had exactly the same pact (none). Sorry I wasted my time on this stinkburger!"
" The Invitation you should not refuse!
",0.2914,0.8826,2021-03-18 00:00:00,7,"It is strongly recommended that you accept The Invitation to watch this highly engaging thriller, because you will be treated to a well executed, gradually nerve-racking and an intense atmosphere of tension and suspense through the inviting eyes and expressions of the protagonist, Will."
" Doubt
",-0.3612,0.3612,2021-03-16 00:00:00,7,"You have no clue wich way the story Goes, in the beginning, i like that.
Action at the end could have been some more , but overall its okay"
" This is ""bad"" good, you know?
",0.4404,0.9337,2021-03-10 00:00:00,9,"I have a hard time explaining just why I like this so much. The actors are fine, not amazing just fine. The plot is good, but not amazing.. but something about The movie just works! I imagine The budget was low and still they pulled off a good movie that Im afraid to admit i watched more than 2-3 times. If you like social thriller Vibes but don't expect too much, just wanna wacth a mysterious movie and see where it goes then this is just The movie for you! :)"
" Table manners are deadly
",0.0,-0.7783,2021-03-09 00:00:00,7,It's really a film about how social expectations can confine and prevent you from calling out weird and creepy behavior for fear of being rude.
" Predictable Boring Movie
",-0.3182,-0.2014,2021-03-01 00:00:00,2,Story is first very wierd it make no sense....its predictable and very boring. Actors are ok but the movie is sooo 0815. One of the badest movie I saw.
" Just no
",-0.296,0.6751,2021-02-27 00:00:00,2,"First of all, if my ex husband ever invited me over for a dinner party, I would know better than to take my new partner there. There's a reason you leave the past in the past and mourning the loss of a child does not mean you reunite with old friends at your ex's home you once shared with them. Come on! Common sense people! Did this move keep me on my toes? Yes. Was I thinking ""WTF"" the whole time, uh YAH. So that's why I rated it a 2. Basically a wtf movie that would twist your mind. Anyone who's been divorced would be thinning ""why?"" Though."
" An absolute sensation
",0.0,0.2143,2021-02-25 00:00:00,10,"An absolute sensation. I was gripped from the start and captivated throughout, intrigued and somewhat mesmerised as I struggled, like the main protagonist, to ascertain whether things really were as potentially terrible as it seemed they might be. And just when it would appear that he and I might be overreacting..... This is a most assured achievement with writers and director locked together and a tight cast in one house on a small budget, completely focused on what is going on and at the same time making sure the viewer is made to constantly adjust and readjust their sense of reality. I thought of the horrors of Charles Manson and oddly Who'se Afraid of Virginia Woolf as I gradually began to grasp the full horror being played out here. A masterful and essential watch."
" I'm sorry, I don't know why people think this is good.
",0.3818,-0.4378,2021-02-23 00:00:00,3,"I was tricked into watching this from my roommate who had already seen this. Although I am very irritated with him for making me watch this, I'm equally irritated with all the reviews saying this is a 10 star film. Let's get real, it was a 1hr40 of a repetitive mess. It was extremely predictable and just over the top when it didn't need to be. It's just a massive build up for an average ending. If you want to save some time, just start this film in the last 30 minutes. That's why I was generous enough to give 3 stars as opposed to the 1 or 2 i would have given for the full hour before that mark. Apparently there were actors like Luke Wilson and Topher Grace that were linked to roles in this film. The fact that none of them went through with it should tell you how much of a disaster this was."
" Boring, until you get to the end
",-0.3182,-0.5994,2021-02-22 00:00:00,7,"The first hour and 10 minutes are a complete bore, until the last scene which is basically when the whole plot happens. If you just think of that ending, then that's what gives this movie a 7 rather than a 1. I won't say what happens, but it's a complete shock at the end, similar to Parasite (but not as exciting)"
" Remember the Blair witch project?
",-0.3612,0.1027,2021-02-19 00:00:00,10,Read the bad reviews of you want the truth about this movie. Only then will you know the truth.
" It's Good, and Works Well.
",0.6124,0.3612,2021-02-16 00:00:00,6,"The Film Suttley Comunicates its philosophy to the viewer, without objecting to Our Questions. More often Though, it feels like a lot is loosely tighed together, and it eventually becomes unfullfilling."
" Naw.
",0.0,-0.4199,2021-02-14 00:00:00,2,"Cheap plot, see through & tries to make up the difference with gratuitous violence. And whose giving this a other boring films like this 9 and 10 stars?!"
" Boring
",-0.3182,0.0711,2021-02-14 00:00:00,5,"Short summary:
A whole lot of nothing till the last 10-15 minutes, which in all honesty weren't that remarkable either."
" Tense but
",-0.1779,0.9917,2021-02-14 00:00:00,8,"Good movie overall.
You can sense the awkwardness of the movie from the first scenes. This tends to be the norm as you move forward.
What once was a happy group of friends is torn apart by the tragedy that happened.
It expresses the dullability of those struck by intense and never ending pain (as losing a child affects a parent), and the distances one goes to try to erase that pain. But it never does.
For me, it was pretty predictable, because i have seen many movies/documentaries about cults and how can they mess with someones mind, eager to do anything it takes to give up that pain, instead of giving in.
On the other hand, as i have seen in other comments, its a situation exposed to such a degree, that you can imagine yourself being in that situation, maybe not as the protagonists, but as a random friend that happens to be there.
The odd characters (you will know who they are), are incredibly suspicious from the moment they appear which further makes the movie a tad predictable from my side. But that shouldnt be the case if you turn your brain off a bit. Thing is, movie is so intense you cant. Our brains are wired in such way we need to find the answers before given to us.
Nonetheless, the acting is sick ! From everyone. The plot gives in slowly to the viewer, painting a distorted picture for us to try and discover more in depth, great producing there. They did not give up more details than needed and the permanent idea of Will being mentally ill kind of overloads the scenes. Everything is pieced together so well, so realistic, its really breathtaking and lingers on you after the movie has ended.
This movie should be seen by many. We live in a world where pain occupies most of our lifes, and after watching the movie you would think that things like this might actually happen in real life.For sure a very good movie, well executed and very good acting."
" A good kind of twisted
",0.4404,-0.7053,2021-02-13 00:00:00,8,What I really like the slow burn tension of this movie. From the minute they get to the party there is not much action but the tension and discomfort are palpable. I will leave it at that
" Life and death are phenomenon well when left uninterrupted
",-0.4215,0.9011,2021-02-10 00:00:00,7,"What worked:
I think the concept of the movie is cool and impressive. It's a well built psychological thriller with good essence put on main leads, bereaving the losses in their lives. The movie attempts to balance the movie between the real psychological trauma vs the perceived threat in the unconventional and doubtful social gathering. The movie gives hints of what's about to come but also plays it cool to keep the mood of the movie normally. Overall, it's an interesting watch and an engaging one.What did not work:
The mood of the movie is set different from what the final end product of the movie Intends to provide as a result fails to thrill majority of the movie and only revealing the actual thrills too late. I think it's a well intended project failing because the makers failed to set the tone of the movie. However, the movie works if there is no expectations regarding the thrills because it is a well versed drama with a one location setting.
Final verdict: recommended"
" Masterpiece of suspense
",0.6249,0.8924,2021-02-07 00:00:00,9,"This is for who doesn't want to read walls of text:
Don't read any information about this film. Start watching without knowing anything. It can seem slow, but it's very justified. It's a super-well build-up of suspence. Trust me, watch it till the end. Don't stop it."
" First great movie I ever saw without any kind of action
",0.6249,0.9136,2021-02-07 00:00:00,7,This movie have no action scenes axcept in some last scenes but I swear the suspence is very next level.I never thought that I am going to love this move that much.I just started this movie to finish and delete it but it really was one of the best suspence movie
" This is a real life horror movie. Very disturbing
",-0.807,0.988,2021-02-05 00:00:00,8,"I'll start this off my saying I am not a fan of horror movies. I've seen a few but can't put myself through them. I had no idea what this film was going to be about, I went in blind. I was on edge the entire time.Watching this movie alone at midnight was a mistake, something I would not recommend. I dread to think what my heart rate was at certain moments. There is a suspense there throughout the entire runtime and you know that something just isn't quite right.To me this is a horror movie. But a real horror movie. Not a jump scare filled, gore fest with killer clowns. But the type of horror movie that keeps you on edge the entire time, in a similar way to Get Out. You are disturbed by some of the characters because they are completely real people. This is something that you can genuinely imagine happening and for me that is why it is so terrifying.The music is played at the right moments and only makes those scenes even more tense, as does the silence is other scenes. Once I'd managed to under Tom Hardy, I thought that Logan Marshall-Green was brilliant. Other characters were pretty much generic movie characters bar a few.I think it's safe to say I was definitely shook up by this film, partly down to the fact I don't handle films with this level of tension too way but mostly due to how well the tension was done. And it didn't lose any of until the credits. For me the final shot is just horrifying.A very well done film, kept me firmly invested the whole time and left me rather disturbed afterwards. For something which isn't my cup of tea at all, I actually enjoyed it in a very strange way. I would definitely put this under horror, just not the stereotypical horror movies you imagine."
" Don't watch this movie!!!!
",0.0,-0.7003,2021-01-26 00:00:00,1,The movie is boring. Nothing happens until the end which is horrible.
" Love it or hate it, there's no middle point
",-0.1779,0.6642,2021-01-25 00:00:00,7,"I won't spoil it, promise. This is one of those films that keep you doubting the obvious conclusions you have reached. It's not a master piece but it's not that bad either. I personally liked it like it is. It's not a horror film and no jump scares, it's just psychological uneasiness."
" Incredible
",0.0,0.982,2021-01-22 00:00:00,10,"The low ratings on this masterpiece of a thriller are ridiculous and a-pallin. If you need constant cheap thrills throughout a movie to be entertained, watch Die Hard. If you are a fan of smart thrillers, do yourself a favor and watch The Invitation. I'm a HUGE thriller buff, and this one is easily in my top 10. The Invitation takes its time in building up the delicious tension, and there is an impending sense of something very sinister approaching, even as the other guests repeatedly write off the tormented Will as just being paranoid. When the climax arrives, it unfolds rapidly. The final scene is so spooky and brilliant. Terrific acting by the entire cast. We've seen this movie probably half a dozen times now, and it's as intriguing as ever. Settle in and enjoy this masterpiece of a thriller!"
" IMDB Needs To Audit Its Ratings. There CanNOT Be That Many Idiots!!
",0.0,-0.9089,2021-01-21 00:00:00,1,"No way the overwhelming majority would rate this snooze-fest a seven! Come on, IMDB; there are ratings farms generating these lies!
Really awful movie. Meaningless. Full of exaggerated, unbelievable, brainwashed guys in a luxury house and situation that seems they just reached to the end of a childish story."
